"pm2.5, x; 人数, x","pm2.5, y","人数, y"
2016-10-07,47.0,174
2016-10-08,45.0,204
2016-10-09,32.0,214
2016-10-10,39.0,211
2016-10-11,37.0,220
2016-10-12,86.0,214
2016-10-13,64.0,198
2016-10-14,35.0,224
2016-10-15,47.0,182
2016-10-16,57.0,183
2016-10-17,102.0,262
2016-10-18,123.0,234
2016-10-19,79.0,217
2016-10-20,85.0,229
2016-10-21,88.0,235
2016-10-22,40.0,138
2016-10-23,26.0,170
2016-10-24,52.0,228
2016-10-25,70.0,206
2016-10-26,100.0,232
2016-10-27,56.0,228
2016-10-28,26.0,224
2016-10-29,24.0,206
2016-10-30,32.0,219
2016-10-31,28.0,254
2016-11-01,34.0,230
2016-11-02,65.0,265
2016-11-03,67.0,251
2016-11-04,59.0,262
2016-11-05,102.0,248
2016-11-06,113.0,236
2016-11-07,88.0,263
2016-11-08,82.0,275
2016-11-09,43.0,252
2016-11-10,63.0,271
2016-11-11,55.0,264
2016-11-12,116.0,227
2016-11-13,179.0,234
2016-11-14,123.0,324
2016-11-15,61.0,301
2016-11-16,38.0,305
2016-11-17,101.0,297
2016-11-18,109.0,326
2016-11-19,107.0,290
2016-11-20,83.0,274
2016-11-21,51.0,301
2016-11-22,14.0,248
2016-11-23,32.0,304
2016-11-24,44.0,300
2016-11-25,48.0,341
2016-11-26,85.0,292
2016-11-27,86.0,296
2016-11-28,68.0,379
2016-11-29,131.0,321
2016-11-30,118.0,288
2016-12-01,124.0,357
2016-12-02,124.0,370
2016-12-03,73.0,301
2016-12-04,157.0,293
2016-12-05,171.0,377
2016-12-06,57.0,359
2016-12-07,104.0,302
2016-12-08,124.0,313
2016-12-09,47.0,363
2016-12-10,94.0,339
2016-12-11,92.0,311
2016-12-12,126.0,461
2016-12-13,54.0,371
2016-12-14,56.0,385
2016-12-15,91.0,364
2016-12-16,66.0,372
2016-12-17,96.0,354
2016-12-18,164.0,343
2016-12-19,307.0,446
2016-12-20,386.0,388
2016-12-21,252.0,369
2016-12-22,146.0,388
2016-12-23,69.0,421
2016-12-24,85.0,356
2016-12-25,118.0,295
2016-12-26,110.0,356
2016-12-27,62.0,350
2016-12-28,118.0,340
2016-12-29,149.0,383
2016-12-30,105.0,407
2016-12-31,149.0,322
2017-01-01,152.0,249
2017-01-02,223.0,332
2017-01-03,181.0,387
2017-01-04,281.0,307
2017-01-05,239.0,348
2017-01-06,276.0,372
2017-01-07,170.0,272
2017-01-08,109.0,245
2017-01-09,148.0,364
2017-01-10,111.0,344
2017-01-11,131.0,305
2017-01-12,208.0,274
2017-01-13,100.0,296
2017-01-14,49.0,259
2017-01-15,72.0,242
2017-01-16,104.0,336
2017-01-17,116.0,281
2017-01-18,268.0,278
2017-01-19,165.0,285
2017-01-20,20.0,261
2017-01-21,45.0,205
2017-01-22,33.0,229
2017-01-23,96.0,306
2017-01-24,138.0,280
2017-01-25,106.0,302
2017-01-26,107.0,275
2017-01-27,58.0,137
2017-01-28,93.0,163
2017-01-29,104.0,177
2017-01-30,41.0,234
2017-01-31,53.0,213
2017-02-01,81.0,218
2017-02-02,98.0,246
2017-02-03,108.0,324
2017-02-04,139.0,319
2017-02-05,123.0,237
2017-02-06,70.0,334
2017-02-07,54.0,259
2017-02-08,59.0,268
2017-02-09,23.0,263
2017-02-10,39.0,214
2017-02-11,65.0,198
2017-02-12,76.0,166
2017-02-13,122.0,287
2017-02-14,188.0,205
2017-02-15,98.0,237
2017-02-16,92.0,220
2017-02-17,41.0,206
2017-02-18,68.0,200
2017-02-19,131.0,148
2017-02-20,51.0,277
2017-02-21,40.0,189
2017-02-22,100.0,155
2017-02-23,71.0,225
2017-02-24,51.0,204
2017-02-25,64.0,210
2017-02-26,50.0,164
2017-02-27,82.0,230
2017-02-28,95.0,252
2017-03-01,71.0,211
2017-03-02,32.0,189
2017-03-03,49.0,233
2017-03-04,113.0,179
2017-03-05,108.0,186
2017-03-06,47.0,291
2017-03-07,29.0,237
2017-03-08,33.0,173
2017-03-09,42.0,221
2017-03-10,52.0,229
2017-03-11,101.0,186
2017-03-12,79.0,164
2017-03-13,44.0,291
2017-03-14,51.0,261
2017-03-15,67.0,241
2017-03-16,60.0,249
2017-03-17,70.0,238
2017-03-18,102.0,212
2017-03-19,64.0,181
2017-03-20,59.0,270
2017-03-21,54.0,210
2017-03-22,76.0,245
2017-03-23,103.0,186
2017-03-24,80.0,226
2017-03-25,69.0,184
2017-03-26,41.0,177
2017-03-27,38.0,240
2017-03-28,78.0,215
2017-03-29,59.0,241
2017-03-30,110.0,237
2017-03-31,77.0,238
2017-04-01,63.0,201
2017-04-02,64.0,172
2017-04-03,61.0,163
2017-04-04,53.0,175
2017-04-05,83.0,316
2017-04-06,86.0,256
2017-04-07,155.0,236
2017-04-08,132.0,197
2017-04-09,33.0,181
2017-04-10,49.0,263
2017-04-11,55.0,192
2017-04-12,83.0,277
2017-04-13,50.0,204
2017-04-14,40.0,221
2017-04-15,64.0,212
2017-04-16,86.0,174
2017-04-17,59.0,269
2017-04-18,35.0,219
2017-04-19,34.0,252
2017-04-20,29.0,235
2017-04-21,48.0,216
2017-04-22,39.0,212
2017-04-23,36.0,187
2017-04-24,52.0,283
2017-04-25,70.0,241
2017-04-26,59.0,214
2017-04-27,36.0,240
2017-04-28,47.0,248
2017-04-29,49.0,194
2017-04-30,68.0,166
2017-05-01,135.0,150
2017-05-02,69.0,230
2017-05-03,29.0,200
2017-05-04,58.0,199
2017-05-05,111.0,214
2017-05-06,91.0,213
2017-05-07,119.0,172
2017-05-08,72.0,248
2017-05-09,44.0,253
2017-05-10,58.0,229
2017-05-11,54.0,182
2017-05-12,43.0,211
2017-05-13,38.0,189
2017-05-14,40.0,185
2017-05-15,49.0,237
2017-05-16,27.0,238
2017-05-17,32.0,199
2017-05-18,42.0,218
2017-05-19,40.0,210
2017-05-20,70.0,214
