StandardID,Cu_Batch_No,Cu_ppm
GBM908-10,RM15097268,3650
GBM908-10,RM15097268,3650
GBM908-10,RM15105394,3660
GBM908-10,RM15105394,3660
GBM908-10,RM15147119,3690
GBM908-10,RM15147119,3690
GBM908-10,RM15153571,3620
GBM908-10,RM15153571,3620
GBM908-5,RM14162646,502
GBM908-5,RM15002542,498
GBM908-5,RM15105392,501
GBM908-5,RM17086285,505
MRGeo08,RM14196570,640
MRGeo08,RM15002541,623
MRGeo08,RM16002311,630
MRGeo08,RM16004815,606
MRGeo08,RM16018086,633
GBM908-10,RM14154666,3470
GBM908-10,RM14154666,3470
GBM908-10,RM14188651,3440
GBM908-10,RM14188651,3440
GBM908-10,RM15097268,3620
GBM908-10,RM15097268,3620
GBM908-10,RM15105394,3700
GBM908-10,RM15105394,3700
GBM908-10,RM15175239,3610
GBM908-10,RM15175239,3610
GBM908-10,RM16004820,3690
GBM908-10,RM16004820,3690
GBM908-5,RM14162646,504
GBM908-5,RM15002542,503
GBM908-5,RM15105392,505
GBM908-5,RM17086285,491
GBM908-5,RM17100738,529
MRGeo08,RM14182083,647
MRGeo08,RM15191091,626
GBM908-10,RM14154666,3510
GBM908-10,RM14154666,3510
GBM908-10,RM14188651,3690
GBM908-10,RM14188651,3690
GBM908-10,RM15097268,3680
GBM908-10,RM15097268,3680
GBM908-10,RM15105394,3550
GBM908-10,RM15105394,3550
GBM908-10,RM15147119,3590
GBM908-10,RM15147119,3590
GBM908-10,RM16004815,3600
GBM908-10,RM16004815,3600
GBM908-5,RM15002542,490
GBM908-5,RM17086285,507
MRGeo08,RM14196570,650
MRGeo08,RM15153571,622
MRGeo08,RM15175239,623
MRGeo08,RM16004820,631
MRGeo08,RM17100738,615
GBM908-10,RM14188651,3680
GBM908-10,RM14188651,3680
GBM908-10,RM15097268,3650
GBM908-10,RM15097268,3650
GBM908-10,RM15105394,3600
GBM908-10,RM15105394,3600
GBM908-10,RM15147119,3760
GBM908-10,RM15147119,3760
GBM908-10,RM15153571,3710
GBM908-10,RM15153571,3710
GBM908-10,RM15175239,3680
GBM908-10,RM15175239,3680
GBM908-10,RM15191091,3730
GBM908-10,RM15191091,3730
GBM908-10,RM16004815,3620
GBM908-10,RM16004815,3620
GBM908-10,RM16004820,3570
GBM908-10,RM16004820,3570
GBM908-5,RM15002542,500
GBM908-5,RM17086285,487
MRGeo08,RM17100738,615
GBM908-10,RM14188651,3520
GBM908-10,RM14188651,3520
GBM908-10,RM15097268,3660
GBM908-10,RM15097268,3660
GBM908-10,RM15175239,3670
GBM908-10,RM15175239,3670
GBM908-10,RM15191091,3660
GBM908-10,RM15191091,3660
GBM908-10,RM16004815,3580
GBM908-10,RM16004815,3580
GBM908-10,RM16018086,3630
GBM908-10,RM16018086,3630
GBM908-5,RM15002542,497
GBM908-5,RM15105394,495
GBM908-5,RM17086285,495
MRGeo08,RM15153571,636
MRGeo08,RM16004820,631
MRGeo08,RM17100738,620
GBM908-10,RM15002541,3580
GBM908-10,RM15002541,3580
GBM908-10,RM15191091,3540
GBM908-10,RM15191091,3540
GBM908-5,RM14188651,493
GBM908-5,RM15097268,504
GBM908-5,RM15105394,505
GBM908-5,RM17086285,505
MRGeo08,RM15147119,641
MRGeo08,RM15153571,641
MRGeo08,RM16004815,633
MRGeo08,RM16018086,615
GBM908-10,RM15002541,3480
GBM908-10,RM15002541,3480
GBM908-10,RM15191091,3630
GBM908-10,RM15191091,3630
GBM908-10,RM16004815,3520
GBM908-10,RM16004815,3520
GBM908-5,RM14188651,478
GBM908-5,RM15097268,505
GBM908-5,RM15105394,484
GBM908-5,RM17086285,508
MRGeo08,RM14182083,673
MRGeo08,RM15175239,623
GBM908-10,RM15002541,3660
GBM908-10,RM15002541,3660
GBM908-10,RM15191091,3680
GBM908-10,RM15191091,3680
GBM908-5,RM14188651,491
GBM908-5,RM15097268,484
GBM908-5,RM15105394,508
GBM908-5,RM17100738,491
MRGeo08,RM14196570,647
GBM908-10,RM15002541,3600
GBM908-10,RM15002541,3600
GBM908-5,RM14188651,518
GBM908-5,RM15097268,506
GBM908-5,RM15105394,503
GBM908-5,RM17100738,491
MRGeo08,RM15191091,608
GBM908-10,RM15002541,3600
GBM908-10,RM15002541,3600
GBM908-10,RM15191091,3660
GBM908-10,RM15191091,3660
GBM908-5,RM14188651,515
GBM908-5,RM15097268,494
GBM908-5,RM15105394,501
GBM908-5,RM17100738,500
MRGeo08,RM14182083,650
MRGeo08,RM15175239,639
GBM908-10,RM14196570,3720
GBM908-10,RM14196570,3720
GBM908-10,RM15002541,3640
GBM908-10,RM15002541,3640
GBM908-10,RM15191091,3640
GBM908-10,RM15191091,3640
GBM908-5,RM15097268,503
GBM908-5,RM15105394,502
GBM908-5,RM17100738,497
MRGeo08,RM15175239,628
GBM908-10,RM14196570,3690
GBM908-10,RM14196570,3690
GBM908-10,RM15002541,3580
GBM908-10,RM15002541,3580
GBM908-5,RM15097268,485
GBM908-5,RM17100738,502
MRGeo08,RM15175239,620
MRGeo08,RM15191091,635
GBM908-10,RM14196570,3590
GBM908-10,RM14196570,3590
GBM908-10,RM15002541,3600
GBM908-10,RM15002541,3600
GBM908-5,RM15097268,497
MRGeo08,RM14182083,646
GBM908-10,RM14182083,3570
GBM908-10,RM14182083,3570
GBM908-10,RM14196570,3590
GBM908-10,RM14196570,3590
GBM908-10,RM15002541,3560
GBM908-10,RM15002541,3560
MRGeo08,RM15175239,602
GBM908-10,RM14182083,3600
GBM908-10,RM14182083,3600
GBM908-10,RM14196570,3510
GBM908-10,RM14196570,3510
GBM908-10,RM15175239,3510
GBM908-10,RM15175239,3510
GBM908-5,RM15002541,509
GBM908-10,RM14182083,3740
GBM908-10,RM14182083,3740
GBM908-10,RM14196570,3620
GBM908-10,RM14196570,3620
GBM908-5,RM15002541,508
GBM908-10,RM14182083,3560
GBM908-10,RM14182083,3560
GBM908-10,RM14196570,3570
GBM908-10,RM14196570,3570
GBM908-10,RM15175239,3420
GBM908-10,RM15175239,3420
GBM908-5,RM15002541,504
GBM908-10,RM14182083,3630
GBM908-10,RM14182083,3630
GBM908-10,RM14196570,3620
GBM908-10,RM14196570,3620
GBM908-5,RM15002541,513
GBM908-10,RM14182083,3680
GBM908-10,RM14182083,3680
GBM908-10,RM15175239,3640
GBM908-10,RM15175239,3640
GBM908-5,RM14196570,528
GBM908-5,RM15002541,523
GBM908-10,RM14182083,3620
GBM908-10,RM14182083,3620
GBM908-5,RM14196570,505
GBM908-5,RM15002541,520
GBM908-10,RM14182083,3590
GBM908-10,RM14182083,3590
GBM908-5,RM14196570,497
GBM908-5,RM15002541,513
GBM908-10,RM14182083,3620
GBM908-10,RM14182083,3620
GBM908-5,RM14196570,521
GBM908-5,RM15002541,490
GBM908-10,RM14182083,3700
GBM908-10,RM14182083,3700
GBM908-5,RM14196570,513
GBM908-5,RM14182083,532
GBM908-5,RM14196570,497
GBM908-5,RM14182083,498
GBM908-5,RM14196570,514
GBM908-5,RM14182083,512
GBM908-5,RM14196570,520
GBM908-5,RM14182083,502
GBM908-5,RM14182083,509
GBM908-5,RM14182083,501
GBM908-5,RM14182083,508
GBM908-5,RM14182083,527
GBM908-5,RM14182083,490
GBM908-5,RM14182083,514
GBM900-6,RM15004267,4540
