x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49],z[50],z[51],z[52],z[53],z[54],z[55],z[56],z[57],z[58],z[59],z[60],z[61],z[62],z[63],z[64],z[65],z[66],z[67],z[68],z[69],z[70],z[71],z[72],z[73],z[74],z[75],z[76],z[77],z[78],z[79],z[80],z[81],z[82],z[83],z[84],z[85],z[86],z[87],z[88],z[89],z[90],z[91],z[92],z[93],z[94],z[95],z[96],z[97],z[98],z[99]
-122.2166666667,47.4833333333,,,,,,,,,,,,,563.0776097169,355.3735573322,322.8208827418,160,,,,,,248.7836211408,299.1707834514,274.6171073529,336.3953625306,413.4150255393,,,,357.0961365678,430.6233583104,264.9328689683,414.0704746681,607.5298953662,,486.9288083551,455.9976023165,,246.363406575,334.9467419341,300.7869744369,294.1769099349,291.896621588,323.1037923941,256.2209929527,283.1142659949,374.2531199562,,,523.1117824773,251.6118860303,250.2541020204,236.7249131173,260.7343999282,327.8531267492,339.6159619578,254.0592654407,269.786515709,247.1293574707,273.5322786073,232.3171065355,235.4017845116,256.0409374379,238.6528303658,284.3923779201,,,315.8008658009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2083333333,47.4916666667,,,,,,,,,,,,,,472.1694155909,,,,,,,,,284.8001066447,314.7793206525,309.2024105122,489.7647618551,,,,650,530.1724137931,,,,,590.0303179501,545.3577877976,,309.5144855704,360.3336553284,261.5406420765,267.9246219813,289.4265483407,327.6957174573,267.3004579056,295.7596691883,385.7483074604,,,563.7694927101,351.8008699262,248.9509217999,268.0846799546,251.4531501807,252.8208934249,279.647650674,252.9183605542,247.0205742731,292.5494551272,238.0183321782,,241.1767975163,241.122690397,255.016707922,,331.1965811966,313.0702007107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.2,47.5,,,,,,,,,,,,,,,,,,,,,,449.8585250091,347.0450614376,318.257880927,316.6783331734,374.9527139266,,,,,,,,,549.6678226228,379.2600272406,394.265463866,,259.0524702744,352.4452830024,,306.3399951799,300.5171088311,267.0404358956,273.7208427946,291.9699000699,576.6273201651,,,,544.9226699227,250.7878334146,278.6547787222,243.6749253793,232.8095590753,388.0,,252.9693735168,291.2108793824,303.9832285115,,,244.4237135425,248.4745762712,,244.845268082,380.0475059382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1916666667,47.5083333333,,,,,,,,,,,,,,,,,,,,,,,358.4883045879,357.0359674657,375.581459953,465.1482069889,572.4677659116,,,,,650,478.0708901711,650,556.1096518092,,479.1082910069,,,316.4800898214,331.7060061908,249.3299523385,274.1503862207,281.9886389415,261.5422595784,309.9296087859,283.2649953022,323.0691305031,,,,556.1574486706,246.9109746425,259.2792558625,248.7052319192,256.5691158157,263.7631165827,293.2769788575,231.3608161895,259.6856733662,257.4702246344,,,,,291.8134701538,,,,,,,254.975,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1833333333,47.5166666667,,,,,,,,,,,,,,,,,,,,,472.6294197606,434.3812808395,418.91091987,416.2811309685,381.3367880839,485.4724462682,482.0051413882,,,,,650,573.6396278139,597.4086301189,610.573993416,542.9962468782,515.0586136585,378.8340780099,,,425.8474576271,290.0378266456,285.8682542029,279.1138902648,,336.7898885348,283.1754377735,273.5998635712,275.5521976246,468.7074829932,,236.0801781737,265.6705428899,273.6786326931,259.5708866633,266.6147699363,263.9152811189,270.2951033621,271.6531306715,359.7402597403,,,,,,,171.0884353741,,,,,,,,,176.9480519481,,,,,,,,,,,,,,,,,,,,,,,,
-122.175,47.525,,,,,,,,,,,,,374.6245851627,,,429.5203407863,545.5585205119,501.3437688542,415.1027087278,,,615.2718806189,476.9134436994,428.2672011729,487.3085466658,546.0063549784,534.1947291006,,,,,650,640.3378700287,505.4840280066,497.9025165641,558.9625253493,650,,,302.7523191095,333.3333333333,,301.8028924809,,253.90625,309.0521528996,300.0196578597,272.1010026297,280.8163998569,306.2469067184,,441.7883442618,267.8947059017,241.0672054,233.9859831235,270.0873106368,276.3716222344,261.2056156038,253.7697083839,263.4538937765,251.7064846416,261.020896156,,256.1939659094,250.3659390586,,178.1115879828,,,,386.6959064327,160,252.5773195876,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1666666667,47.5333333333,,,,,,,,,,,457.1860207759,460.2090910805,397.7187309275,375.9448378584,356.4948013104,410.868985473,565.9863094949,476.3863658675,474.0362575328,548.9130434783,406.4588286118,386.7105432109,408.4380025366,442.3320875321,541.0995945547,602.959975926,498.664195381,,,,,650,510.7068144394,514.2266987441,542.1185534596,429.108581231,512.3491189139,309.8765432099,289.0628707085,312.9571726953,357.8400314639,347.9391619475,346.342502792,,314.0091891432,309.3125775804,291.9071985205,273.1359018144,344.635774497,359.3406593407,185.6604084961,494.1044357103,262.2024071614,245.5284026504,244.7335174213,280.2685630643,295.0517560184,287.9112918094,238.0570144116,160,247.676815983,224.4409542608,,264.8932280078,211.2167370364,289.9544714844,209.8765432099,226.9230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1583333333,47.5416666667,,,,,,,,,,,437.7450857497,403.0750192702,379.9499767836,389.454313845,387.3453264178,411.6653642856,434.1284783376,435.9369343199,383.9644059939,467.9163487338,460.9037343303,433.7372962294,298.8047808765,445.7827516244,556.4137355182,,,,,,,,,517.1767513346,650,650,289.9850018502,322.2791531429,292.4213318467,271.6911336944,312.4347683882,314.2827052082,,,265.1006711409,332.0211117648,280.0482510883,299.6183206107,,282.2547822548,264.0631482856,256.8492112108,254.9088195077,254.8165584416,237.5415282392,250.8326523541,239.837398374,160,346.2099125364,,206.3874825138,,260.663507109,,264.8394733893,322.0965637762,,,,,239.4202329569,213.7662238921,229.9633290816,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.15,47.55,,,,,,,,,,,425.8968441943,377.9354673236,372.7228056756,315.9317987752,309.8024797282,389.3016623633,314.6272829189,389.7272108446,396.1249272861,393.8668635261,407.3137096821,390.377840196,,,,464.3448087222,513.9559276291,476.555879782,,,,,,650,,432.5096037633,405.259908942,340.6490870624,275.7763087823,411.1405835544,320.0323055176,364.1861205649,,261.3161367216,269.9433938518,286.25005112,,,,226.1425196634,,,268.0921052632,,240.6595826226,357.787881935,277.4473999285,351.3207264298,286.2595419847,237.2507823575,284.0909090909,185.3982300885,291.8918918919,162.7378640777,258.9534533404,,234.347826087,199.5614035088,,,190.9443964556,206.6169341614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1416666667,47.5583333333,,,,,,,,,,,,312.4107486403,357.7890557977,379.0322580645,,377.1017046481,456.5049715004,406.9724461693,375.3893725143,396.9833053276,410.1767760119,388.768395593,403.374289382,363.6216424574,577.3461302887,417.7107809236,438.6541169987,505.031652132,,,,,,,,485.2056992869,416.9216907033,308.8331264362,275.5480536076,319.1503363439,477.9206063921,267.2486665207,307.9340090246,287.7028120746,251.6585902434,271.7119565217,,,,315.8062115997,281.2537937352,267.2479345731,279.8591753646,277.9447029138,256.4375534927,216.734713769,292.7505603586,318.9524653891,257.8008101894,276.8456375839,325.8539947597,,,,242.814260508,210.016998543,262.8651562614,,,,,,224.6696035242,,650,355.46875,,,,,,,,,,,,,,,,,,,,,,,,
-122.1333333333,47.5666666667,,,,,,,,,,,432.2295130824,509.8674438439,357.3802023259,364.3230605075,362.4296943565,378.7121716274,363.5745527185,386.8451969685,387.8034686179,478.265183281,442.3626679039,367.7770971283,368.707960767,375.153786725,363.9897350976,365.0858297825,395.8679287153,369.7463698453,485.199197828,399.3610223642,,,,,,194.253968254,461.647354137,264.4071349945,324.9475351937,329.2770630016,313.3220359313,304.4926735625,279.6334756656,309.9884836175,311.214953271,,,,,,315.5339805825,253.8115287267,273.1901050774,320.0566979705,264.6048994712,244.2189049245,276.6143387181,257.6236509307,245.1814727463,397.1962616822,325.1599147122,470.1030927835,,,,,,,,,,,199.4535519126,,,,160,230.0,,,,,,,,,,,,,,,,,,,,,,
-122.125,47.575,,,,,,,,,,,,432.0513446355,418.0730999534,394.5903155416,368.4702028208,420.5909820002,401.4722386831,430.7481076173,409.0347186489,,487.6129668051,401.3631994404,378.3304039567,388.1207276581,371.8131330986,364.8803518966,370.1074681877,405.6879294395,,,,,,,650,511.2234489103,500.8268357119,364.7739590581,251.3273528276,294.5529408838,302.166342883,319.5709725524,241.8855431849,,,250.3532168371,298.8835458548,222.8962742787,365.0524408531,,566.0377358491,566.0377358491,330.3395223915,221.5297450425,283.0491403057,257.4118756786,248.6935853138,210.1930421291,239.1586538462,,208.8115688659,650,,,,,,,,,180.2445571082,279.8378880499,,,274.1228070175,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1166666667,47.5833333333,,,,,,,,,,,,455.8576978123,381.2254048938,379.0620077283,403.3905589161,382.1667113452,389.2344857063,431.2374198682,355.0349049167,387.2734095923,444.6309150762,321.8330735599,355.7552258964,356.7184296564,367.7179581907,335.3311558422,413.8932616001,477.2676717785,408.2680379322,,,,,650,530.6616147956,403.0081460786,419.0280445913,334.6674434668,246.8471950854,262.7667954839,322.4059745253,262.0450885668,,,239.8060104062,277.0499088737,293.2573782197,303.8581681764,287.5572350058,,193.6883539951,,292.735042735,252.3693632267,252.5287978809,242.3495794629,,261.6021651926,242.096794001,,,,,,,,,,313.2780082988,214.5161290323,191.8174182125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.1083333333,47.5916666667,,,,,,,,,,,,362.4806092232,350.1684982707,303.0491971844,316.4141096136,340.370197665,327.2381846458,300.2603953197,308.1742134055,326.393402022,282.5123697189,320.3504319636,399.894451434,298.5996144492,334.7483188355,350.0498262819,299.1726956594,425.7998915347,,,,650,353.8174496366,,457.8148433768,331.7891086943,325.427770512,308.1552809801,285.7463505462,292.4861671262,286.9653634973,,,315.277465492,281.7416586566,296.8805158098,265.3514974189,288.0822861226,266.7002206818,255.5984555985,,316.1290322581,,,216.6277144805,,244.1488897163,248.8609221064,269.387755102,232.2674418605,,,,,,,203.6851851852,,,223.5753310026,255.0846080603,160,,,160,303.7594559117,403.2400392817,,,,,,,,,,,,,,,,,,,,,,,
-122.1,47.6,,,,,,,,,,,,,412.8919860627,360.6070452581,382.2562851609,326.626051624,309.7824371712,305.2769893456,276.4880724886,302.729728606,,257.4639624603,278.1750442561,318.777044528,295.3556472365,278.1838935476,284.1393038509,266.4092664093,,,480.5065240765,240.9270168093,274.7425396061,468.2072606735,254.4078370086,261.4728854891,293.6219881834,302.5188864607,320.9090909091,332.7256466214,250.4035048807,,,,258.2080841653,261.3231025242,262.1744412158,252.4225829009,,,261.3026819923,308.5942872752,368.3035714286,,,,,338.1576593948,334.1098614609,,,,307.5116136802,252.5738396624,,,,,299.5454545455,,189.7088328338,,189.5949626513,,,,,198.2,,,,,,,,,,,,,,,,,,,,,,
-122.0916666667,47.6083333333,,,,,,,,,,,,,,,,316.0965402383,270.751281053,277.0923775718,322.0035041073,211.2393806522,245.5313825065,298.6221024534,290.3268563767,293.9212203826,302.7209818687,316.6938866097,374.9473132807,,650,427.9598455059,256.4744612883,250.2640953515,241.1055840753,280.2424166209,281.2376670391,263.8617865874,285.1009312885,223.1759656652,,243.4816600126,275.7234426995,,,,,255.0643383344,261.2294845361,263.716691413,264.4727078985,,235.2448478336,255.3491003056,217.9176755448,,,307.9115853659,310.7804589828,340.0636010119,381.2490889218,,,,,,195.6263486117,,,,,,264.3191170969,,208.984375,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0833333333,47.6166666667,,,,,,,,,,,,,,,,325.4245097893,322.448892705,281.7106170166,249.4787885859,279.7649777634,242.9397218035,259.7413759163,270.2959568042,260.2424328682,265.0174025751,278.7409993268,403.2722388727,,388.8428357211,321.7190775681,266.4736160653,248.9590793879,257.6302304271,261.0868494984,240.7086181304,244.837666817,272.8205751017,221.0004458465,263.0832257799,252.2096631063,262.69459723,222.5669851599,,,259.4518226523,220.4612764384,273.5906169029,290.6824198786,281.8874297177,207.6712706095,223.1672998452,,225.2425014389,289.2068236057,232.2967980296,294.6759750577,309.4192555462,348.8183728554,,,,,,160,184.5020641405,163.6736110572,,,296.1272961273,,303.3707865169,209.4972067039,,,216.7664670659,,,,,,,,,,,,,,,,,,,,,,,,,
-122.075,47.625,,,,,,,,,,,,,,,,589.7105123888,276.6955223485,324.5522457868,234.3808739208,286.4143024959,246.2607387609,207.1428571429,267.3441554408,261.7550257933,275.4622071408,252.8579524955,365.5934498764,,273.0627306273,,257.6339819863,243.7851464061,257.8553621297,244.6137544689,225.869754678,264.0715655407,257.4481609437,233.590156854,233.2854045305,273.8605889529,247.6064553719,,,244.4306711245,252.8903319995,264.6825532205,277.1070864936,264.7715323958,238.3750885331,220.5323193916,238.470359331,,270.5465328084,249.3987500544,331.0417636133,233.3598102869,,,,,,,192.8195928045,205.580661296,188.0673522298,174.4966429112,,,,173.8932806324,,231.0426540284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0666666667,47.6333333333,,,,,,,,,,,,,,,,,564.358911084,273.4978485638,228.5823474436,244.1507513494,248.274023316,266.3238356764,278.577083112,248.0712847395,267.9029830232,332.0550098235,,,270.3314982119,220.7636462086,221.4070323867,220.3000099481,191.4118300666,212.8083521562,205.6910210189,232.2584111217,249.3521546524,267.8231903273,236.2106860175,236.8849291015,238.7032019704,211.2765957447,510.2564102564,287.6050314465,279.0333399884,386.9426751592,285.3644608041,255.3197968415,258.1307892725,237.9028295489,242.8062678063,220.4490695552,,244.3763296383,238.9132265266,194.0132708778,,,,,,203.6794633257,205.7562697023,195.8251747288,197.5743067868,199.1990031097,,,,,221.2875797145,,,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0583333333,47.6416666667,,,,,,,,,,,,,,,397.9591836735,,251.4689369446,221.4309273286,222.4719180297,222.2141211905,206.7910172546,278.5454626763,265.3075891216,286.5734512399,240.321504474,227.4476477157,650,,280.1579742704,264.8981794294,214.2383698643,263.9314370072,211.2790984324,232.5340092713,171.5318173806,244.7526756083,187.8612406846,241.0632131027,219.4383395944,225.6372287647,,,247.0238095238,255.5800575264,237.0307158755,328.2552543235,243.3394827381,209.3069529839,275.2913030767,251.2958525171,232.3818910441,271.8717604351,275.2873301795,188.0308113357,231.4814814815,238.0350599492,334.4581377152,224.8201438849,,,,167.8148931407,189.7707674405,497.2081218274,,,,,247.2772277228,247.2772277228,266.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.05,47.65,,,,,,,,,,,,,,,262.0087336245,265.9019577394,213.1675780874,241.5125756956,237.5158766765,224.1518284351,236.7575488532,249.6250428453,246.0420982093,228.5925870788,210.8843741031,267.7129829314,279.2531308652,556.2913907285,,236.9918699187,219.6098517655,264.5409626343,277.5387958596,234.8590938408,270.9043250328,186.386169036,218.1429321474,,224.1826298093,207.2568297208,,,207.1219454891,239.2514463188,245.8189022488,220.3830024547,230.7141268807,219.2916450441,234.4639281802,249.7340425532,254.7272727273,245.8892672982,202.6431718062,171.474140915,226.0091420534,305.6400892676,197.6555023923,232.9457862282,272.1822541966,,,,,,,,176.0563380282,160,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0416666667,47.6583333333,,,,,,,,,,,,,,,383.8527173829,326.0281250377,211.0862432545,236.5093575889,216.6821109304,205.160071189,234.2650946347,249.602281495,210.6836055829,224.2249305994,233.3225629546,231.9968453716,279.061820014,232.664669331,238.0390999258,225.7366806254,203.0361454532,217.2162036298,222.6398302027,201.832460733,248.3501878313,251.5080469438,212.5493311211,,,220.1982374692,235.701329874,,247.7664048983,240.1391203353,239.1408691584,296.2954237632,261.2677751808,,234.0276503818,305.9009066545,213.9337176289,271.7027434562,189.8166211471,247.191011236,228.4450820875,283.8709677419,242.2644178651,272.4782882588,262.1875,,,,,,,,,,208.3333333333,,365.625,200.6172839506,169.8717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0333333333,47.6666666667,,,,,,,,,,,,,342.0325601987,326.6777237583,229.2065629128,232.4861929814,230.3681607923,222.7581958332,231.6712393672,235.4567292924,238.8388576536,245.8299942027,207.0995144481,233.5491330004,226.4516778324,226.413921554,224.0360154768,224.9054798,199.0860424857,214.7611003327,214.3308423111,205.3835384378,241.6947643033,229.1932449541,197.2802701091,230.7581084732,208.9731545751,,,218.9298803249,233.4076758126,183.2870594461,,222.4579229689,235.949449706,215.1507692268,287.3913043478,255.877048178,208.2926432578,241.0877073674,236.7253289292,,243.2255851263,,233.8356973995,238.8379059771,,298.9689643634,,,,,,,,,,,,348.087431694,,208.8051174897,258.8174667432,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.025,47.675,,,,,,,,,,,,,,291.8535496956,223.86443535,223.6318700757,227.1183425014,207.4376783234,208.2954717553,207.1713996914,,254.8272045259,,241.7323854513,205.6890262612,217.844664387,211.9336824426,215.8007998582,239.589877836,200.968338041,193.703686035,199.2764102183,213.9784946237,274.3055555556,205.2786132301,228.1553398058,181.8886196697,,,214.0700887956,,,,170.5426356589,191.4919354839,,,,,232.9931972789,241.8181818182,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0166666667,47.6833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0083333333,47.6916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.0,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9916666667,47.7083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9833333333,47.7166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.975,47.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9666666667,47.7333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9583333333,47.7416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.95,47.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9416666667,47.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9333333333,47.7666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.925,47.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9166666667,47.7833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9083333333,47.7916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7916666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-121.7083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
