"SO2, x; 人数, x","SO2, y","人数, y"
2016-10-07,18.0,174
2016-10-08,15.0,204
2016-10-09,23.0,214
2016-10-10,27.0,211
2016-10-11,17.0,220
2016-10-12,27.0,214
2016-10-13,21.0,198
2016-10-14,15.0,224
2016-10-15,15.0,182
2016-10-16,12.0,183
2016-10-17,24.0,262
2016-10-18,20.0,234
2016-10-19,20.0,217
2016-10-20,27.0,229
2016-10-21,20.0,235
2016-10-22,12.0,138
2016-10-23,13.0,170
2016-10-24,36.0,228
2016-10-25,17.0,206
2016-10-26,28.0,232
2016-10-27,30.0,228
2016-10-28,13.0,224
2016-10-29,21.0,206
2016-10-30,16.0,219
2016-10-31,9.0,254
2016-11-01,22.0,230
2016-11-02,20.0,265
2016-11-03,16.0,251
2016-11-04,23.0,262
2016-11-05,28.0,248
2016-11-06,34.0,236
2016-11-07,18.0,263
2016-11-08,22.0,275
2016-11-09,18.0,252
2016-11-10,21.0,271
2016-11-11,20.0,264
2016-11-12,43.0,227
2016-11-13,37.0,234
2016-11-14,32.0,324
2016-11-15,38.0,301
2016-11-16,24.0,305
2016-11-17,42.0,297
2016-11-18,26.0,326
2016-11-19,22.0,290
2016-11-20,26.0,274
2016-11-21,20.0,301
2016-11-22,13.0,248
2016-11-23,22.0,304
2016-11-24,30.0,300
2016-11-25,34.0,341
2016-11-26,44.0,292
2016-11-27,44.0,296
2016-11-28,42.0,379
2016-11-29,68.0,321
2016-11-30,48.0,288
2016-12-01,55.0,357
2016-12-02,52.0,370
2016-12-03,38.0,301
2016-12-04,50.0,293
2016-12-05,37.0,377
2016-12-06,30.0,359
2016-12-07,46.0,302
2016-12-08,53.0,313
2016-12-09,52.0,363
2016-12-10,52.0,339
2016-12-11,47.0,311
2016-12-12,54.0,461
2016-12-13,37.0,371
2016-12-14,41.0,385
2016-12-15,43.0,364
2016-12-16,36.0,372
2016-12-17,38.0,354
2016-12-18,66.0,343
2016-12-19,73.0,446
2016-12-20,57.0,388
2016-12-21,52.0,369
2016-12-22,27.0,388
2016-12-23,31.0,421
2016-12-24,55.0,356
2016-12-25,45.0,295
2016-12-26,30.0,356
2016-12-27,28.0,350
2016-12-28,33.0,340
2016-12-29,39.0,383
2016-12-30,43.0,407
2016-12-31,43.0,322
2017-01-01,48.0,249
2017-01-02,38.0,332
2017-01-03,40.0,387
2017-01-04,54.0,307
2017-01-05,53.0,348
2017-01-06,52.0,372
2017-01-07,49.0,272
2017-01-08,36.0,245
2017-01-09,40.0,364
2017-01-10,54.0,344
2017-01-11,52.0,305
2017-01-12,50.0,274
2017-01-13,38.0,296
2017-01-14,44.0,259
2017-01-15,38.0,242
2017-01-16,52.0,336
2017-01-17,54.0,281
2017-01-18,101.0,278
2017-01-19,46.0,285
2017-01-20,27.0,261
2017-01-21,35.0,205
2017-01-22,41.0,229
2017-01-23,64.0,306
2017-01-24,84.0,280
2017-01-25,49.0,302
2017-01-26,38.0,275
2017-01-27,41.0,137
2017-01-28,45.0,163
2017-01-29,39.0,177
2017-01-30,40.0,234
2017-01-31,40.0,213
2017-02-01,53.0,218
2017-02-02,44.0,246
2017-02-03,34.0,324
2017-02-04,42.0,319
2017-02-05,40.0,237
2017-02-06,61.0,334
2017-02-07,49.0,259
2017-02-08,55.0,268
2017-02-09,26.0,263
2017-02-10,38.0,214
2017-02-11,54.0,198
2017-02-12,46.0,166
2017-02-13,64.0,287
2017-02-14,72.0,205
2017-02-15,39.0,237
2017-02-16,38.0,220
2017-02-17,51.0,206
2017-02-18,42.0,200
2017-02-19,38.0,148
2017-02-20,36.0,277
2017-02-21,33.0,189
2017-02-22,29.0,155
2017-02-23,30.0,225
2017-02-24,33.0,204
2017-02-25,43.0,210
2017-02-26,36.0,164
2017-02-27,43.0,230
2017-02-28,43.0,252
2017-03-01,36.0,211
2017-03-02,25.0,189
2017-03-03,29.0,233
2017-03-04,48.0,179
2017-03-05,50.0,186
2017-03-06,35.0,291
2017-03-07,29.0,237
2017-03-08,30.0,173
2017-03-09,37.0,221
2017-03-10,35.0,229
2017-03-11,47.0,186
2017-03-12,38.0,164
2017-03-13,47.0,291
2017-03-14,32.0,261
2017-03-15,37.0,241
2017-03-16,31.0,249
2017-03-17,25.0,238
2017-03-18,38.0,212
2017-03-19,29.0,181
2017-03-20,23.0,270
2017-03-21,34.0,210
2017-03-22,30.0,245
2017-03-23,21.0,186
2017-03-24,15.0,226
2017-03-25,12.0,184
2017-03-26,17.0,177
2017-03-27,22.0,240
2017-03-28,25.0,215
2017-03-29,16.0,241
2017-03-30,28.0,237
2017-03-31,22.0,238
2017-04-01,22.0,201
2017-04-02,28.0,172
2017-04-03,23.0,163
2017-04-04,22.0,175
2017-04-05,17.0,316
2017-04-06,23.0,256
2017-04-07,29.0,236
2017-04-08,24.0,197
2017-04-09,33.0,181
2017-04-10,36.0,263
2017-04-11,26.0,192
2017-04-12,20.0,277
2017-04-13,14.0,204
2017-04-14,15.0,221
2017-04-15,20.0,212
2017-04-16,17.0,174
2017-04-17,16.0,269
2017-04-18,13.0,219
2017-04-19,12.0,252
2017-04-20,10.0,235
2017-04-21,10.0,216
2017-04-22,11.0,212
2017-04-23,14.0,187
2017-04-24,19.0,283
2017-04-25,38.0,241
2017-04-26,18.0,214
2017-04-27,17.0,240
2017-04-28,23.0,248
2017-04-29,24.0,194
2017-04-30,34.0,166
2017-05-01,58.0,150
2017-05-02,26.0,230
2017-05-03,20.0,200
2017-05-04,11.0,199
2017-05-05,11.0,214
2017-05-06,17.0,213
2017-05-07,21.0,172
2017-05-08,16.0,248
2017-05-09,14.0,253
2017-05-10,22.0,229
2017-05-11,23.0,182
2017-05-12,22.0,211
2017-05-13,14.0,189
2017-05-14,28.0,185
2017-05-15,27.0,237
2017-05-16,17.0,238
2017-05-17,15.0,199
2017-05-18,17.0,218
2017-05-19,17.0,210
2017-05-20,27.0,214
