x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49]
161720000,,-70.6662,-70.7961,-70.5399,-70.7223,-71.0111,-73.1961,-72.9522,-71.9255,-72.9593,-71.2819,-74.9385,-73.6471,-71.9023,-71.884,-77.0582,-71.564,-72.9163,-73.6511,-72.2828,-70.9215,-73.1532,-73.3853,-73.7077,-71.0063,-71.8188,-71.8181,-73.8139,-83.8082,-73.6738,-72.332,-75.0726,-72.5419,-73.4196,-71.9673,-73.0125,-72.2364,-71.6857,-72.5499,-70.6418,-72.6168,-71.459,-72.0169,-73.5632,-71.6048,-71.5112,-73.1452,-76.4264,-72.9357,-71.4012,-72.6938
161724000,,-71.5489,-71.0734,-70.2887,-71.1198,-70.8719,-72.9063,-73.1006,-72.3061,-71.8783,-72.964,-74.1282,-73.8135,-71.6354,-71.7923,-77.7106,-71.9419,-72.5511,-73.1347,-72.1445,-71.6077,-73.1045,-72.8419,-73.1224,-72.0764,-72.0245,-71.5892,-72.2382,-83.7201,-73.4397,-72.0634,-76.2949,-73.7733,-72.6432,-71.4671,-74.5186,-72.2563,-72.3712,-72.3735,-71.3886,-72.4618,-72.4144,-71.0916,-74.3463,-73.3756,-71.7528,-72.662,-77.0619,-73.6481,-70.6172,-72.5526
161728000,,-69.9051,-68.3316,-69.3796,-70.5795,-69.751,-70.9831,-71.6722,-70.3069,-70.6297,-71.6161,-73.8787,-72.577,-71.8874,-70.9623,-75.9292,-70.8609,-71.1218,-70.3803,-70.9115,-72.2572,-72.1056,-70.9439,-70.3717,-72.2888,-70.7477,-70.9776,-70.8843,-83.615,-72.2802,-71.5403,-74.6186,-71.0757,-71.1533,-69.6744,-71.3015,-72.1938,-71.2057,-70.8073,-70.9631,-71.5669,-71.1259,-71.1227,-71.6302,-71.5991,-71.4234,-71.674,-76.2649,-72.1109,-71.7843,-71.0848
161732000,,-66.3676,-66.444,-66.8803,-68.1889,-68.2132,-68.6086,-68.681,-68.0662,-68.874,-68.6067,-70.8262,-70.6553,-69.1307,-69.6605,-73.1812,-68.1899,-68.6085,-68.2418,-68.8406,-69.6347,-69.8839,-68.8749,-67.6782,-69.3861,-69.5001,-68.6599,-69.6364,-81.8399,-70.9847,-69.776,-72.1124,-68.7743,-68.5691,-67.7271,-68.7724,-68.9459,-69.211,-68.2635,-67.5173,-70.3698,-69.7674,-69.5672,-69.2847,-69.2918,-69.5598,-70.6911,-74.7103,-68.7971,-68.9893,-68.7388
161736000,,-68.3824,-69.2814,-69.4516,-70.5609,-70.9762,-71.0117,-71.5496,-71.6158,-70.9904,-70.8074,-72.8614,-72.0811,-70.9003,-72.6483,-75.354,-71.4273,-71.1962,-71.0219,-70.9557,-72.1487,-72.0587,-71.2145,-70.4453,-71.269,-70.508,-70.756,-71.1196,-84.7986,-72.8294,-72.7387,-73.82,-71.1633,-71.1912,-72.2102,-72.9454,-71.9059,-72.1438,-70.9058,-70.6051,-71.6605,-72.7991,-72.0759,-71.7487,-73.2565,-71.5282,-73.2778,-76.1694,-71.8887,-70.053,-70.9167
161740000,,-68.3927,-70.9294,-69.6987,-71.6137,-72.8679,-71.9485,-73.1697,-71.7584,-71.8777,-70.4042,-74.6992,-72.1356,-71.7968,-72.1369,-76.8946,-72.0926,-72.2943,-71.5362,-73.0163,-73.5899,-72.9829,-73.261,-72.6865,-71.6347,-72.5886,-71.2052,-70.615,-85.2537,-71.8048,-72.6617,-74.6284,-72.6019,-73.1343,-73.7156,-71.7936,-72.6304,-73.5078,-71.5755,-71.9717,-71.6861,-73.8659,-71.3083,-72.3983,-71.9688,-71.9588,-72.7407,-77.0955,-71.9164,-71.1063,-71.9268
161744000,,-68.0536,-70.3175,-70.4748,-71.3972,-72.7743,-72.5287,-72.5973,-71.8921,-72.347,-70.2081,-75.0437,-74.0282,-72.1723,-72.4555,-76.2961,-70.9537,-71.9067,-72.4631,-71.8774,-72.4512,-71.9277,-73.2723,-72.3046,-71.6822,-72.752,-71.4063,-73.0417,-83.9284,-72.1854,-72.2073,-74.8429,-73.3821,-72.5276,-73.2907,-71.7461,-72.7784,-72.5049,-72.59,-72.3734,-71.8926,-74.1688,-71.9352,-73.4383,-71.7372,-71.8504,-71.967,-77.8741,-72.1704,-72.0642,-71.1595
161748000,,-70.3368,-70.1129,-71.5774,-73.1894,-71.8377,-71.6248,-72.8553,-72.4309,-72.0276,-71.9544,-74.0072,-74.0776,-74.5012,-73.9575,-77.0732,-72.3957,-71.3616,-74.3449,-71.4124,-72.72,-71.9528,-72.7312,-72.5839,-73.4042,-72.5046,-72.4305,-71.6413,-84.0185,-73.4028,-73.3883,-75.5367,-72.9583,-72.9501,-73.1166,-72.6482,-72.3618,-71.8393,-73.4235,-72.1469,-72.6119,-72.5855,-73.6028,-75.6205,-72.9031,-73.7796,-71.5079,-77.1624,-74.3917,-72.7933,-71.49
161752000,,-71.3291,-69.6535,-70.0155,-73.2583,-72.3671,-72.0427,-72.7385,-72.8755,-71.9666,-72.4687,-73.8188,-73.5447,-72.4627,-73.0766,-77.3078,-72.7161,-71.6386,-73.0752,-71.4462,-72.6528,-71.9693,-72.5018,-72.3636,-72.7534,-73.0587,-71.5459,-71.2817,-84.3729,-73.4233,-74.1318,-75.4049,-71.2801,-73.11,-71.6507,-70.9768,-72.6967,-71.7715,-73.3529,-71.6637,-73.9041,-72.4198,-72.8831,-73.6421,-72.1168,-71.6589,-72.3489,-77.3351,-72.9429,-71.8669,-71.4026
161756000,,-67.7694,-68.9705,-67.6305,-70.0403,-70.3379,-70.6329,-70.071,-70.2392,-70.8423,-70.3916,-71.3991,-71.6467,-71.4403,-70.075,-75.2611,-70.1688,-70.3364,-70.7262,-71.194,-70.8684,-70.6522,-70.2835,-70.3709,-70.1962,-71.1521,-69.8981,-70.5696,-81.9081,-71.7644,-72.0241,-73.282,-70.973,-71.1587,-69.7865,-69.9158,-69.2232,-70.9446,-70.9777,-70.4895,-71.4274,-71.1904,-71.122,-70.7818,-69.6144,-70.2894,-70.8951,-76.766,-70.3385,-70.9,-70.4752
161760000,,-69.0051,-70.2845,-68.8295,-70.9373,-70.3386,-70.5375,-70.2962,-72.6012,-71.4274,-71.2501,-72.9236,-71.966,-71.1712,-70.9206,-76.2276,-70.7535,-71.9718,-70.3148,-72.0083,-71.6604,-70.9454,-71.6945,-71.6153,-70.9464,-71.1109,-70.6987,-71.8069,-83.4425,-73.3974,-72.2282,-75.3369,-72.7288,-71.6259,-70.8208,-71.4722,-70.6695,-72.3159,-72.1366,-72.2308,-71.8472,-72.2128,-71.8243,-71.5355,-70.5827,-72.2344,-70.9655,-76.8372,-71.3669,-72.3892,-71.2166
161764000,,-71.7477,-70.9013,-71.6247,-72.0006,-71.5446,-71.4669,-71.9254,-72.966,-71.4809,-72.007,-74.595,-72.6885,-72.1884,-72.4632,-77.7804,-71.8565,-73.9763,-72.538,-73.085,-73.3975,-72.2623,-72.015,-72.2956,-72.9349,-72.4267,-72.3579,-73.2347,-85.5218,-73.808,-72.8994,-77.0014,-71.9967,-72.7189,-71.6968,-71.8247,-72.8338,-73.5808,-72.499,-72.7676,-73.6578,-72.2628,-74.1315,-72.4745,-72.1799,-73.4526,-71.9848,-77.4736,-71.6355,-73.5636,-72.2808
161768000,,-70.3781,-70.2418,-70.961,-72.6865,-71.7046,-73.5133,-71.0385,-72.2672,-71.0993,-71.5331,-75.8017,-71.9329,-72.1283,-71.5007,-77.2338,-72.0605,-73.114,-72.9732,-73.6125,-72.3934,-73.2702,-73.8739,-72.8417,-72.3837,-72.521,-73.7155,-71.5172,-84.9395,-72.9584,-72.4179,-76.4156,-71.6571,-73.8917,-71.5684,-70.9007,-73.2232,-73.0362,-72.9296,-73.2833,-72.3213,-72.4845,-72.1164,-71.9355,-72.8551,-72.3278,-72.7954,-78.7095,-71.304,-70.7609,-72.7095
161772000,,-69.1286,-69.7897,-68.9198,-72.7672,-70.3431,-71.5498,-70.3432,-71.8362,-72.5443,-71.9173,-74.6876,-74.3269,-75.0751,-71.9359,-77.2065,-73.2323,-73.3791,-71.9365,-72.6018,-71.4893,-71.802,-71.9797,-73.5057,-72.0799,-72.5603,-73.2745,-71.4448,-82.6681,-73.749,-72.5374,-75.4517,-71.937,-71.4196,-71.4547,-72.0109,-71.8785,-72.2006,-72.3244,-73.0177,-71.6563,-72.4593,-71.12,-72.225,-72.9454,-72.0744,-72.7974,-78.0181,-71.4712,-69.5965,-71.6591
161776000,,-69.3776,-70.7955,-68.774,-72.6013,-71.6436,-71.6722,-71.7218,-71.6328,-72.7835,-73.3968,-74.9159,-74.8093,-75.1466,-72.6588,-78.4592,-72.8051,-73.1532,-71.5057,-71.9353,-72.9228,-72.4517,-71.6693,-73.4012,-72.6973,-71.7827,-72.8668,-73.106,-83.5594,-74.3105,-73.6799,-74.4368,-72.6003,-71.8504,-71.6226,-72.6268,-71.467,-72.2848,-72.8034,-73.4379,-71.4852,-72.8046,-71.2653,-71.6056,-72.4662,-72.1482,-72.6369,-77.2316,-72.4784,-70.874,-72.4113
161780000,,-70.4138,-71.7874,-70.8573,-72.1811,-72.3843,-73.8943,-71.681,-71.7622,-72.6437,-73.5512,-76.025,-73.2416,-71.9481,-72.4766,-78.6065,-73.6066,-72.5179,-70.8694,-71.6129,-72.042,-73.3563,-71.9528,-74.166,-72.7358,-72.9867,-73.3906,-72.7331,-84.8271,-73.7306,-73.3245,-74.7548,-74.2106,-72.9992,-72.2681,-72.8204,-72.0586,-72.6313,-72.2273,-72.3494,-71.9836,-71.4227,-72.6357,-71.9451,-72.0782,-72.746,-71.8057,-78.228,-72.3527,-72.4594,-71.9217
161784000,,-69.7316,-70.9942,-73.1453,-71.1436,-71.9592,-73.5154,-71.4309,-71.6119,-73.0268,-71.4815,-74.6784,-74.6189,-71.0042,-73.6523,-78.6483,-73.9673,-72.5289,-69.8804,-71.235,-72.6369,-72.1756,-72.1717,-73.0249,-72.3005,-72.7654,-72.8852,-73.462,-85.2962,-73.5464,-73.4656,-74.9189,-74.043,-71.8557,-73.7263,-72.7255,-72.2881,-73.2304,-72.2706,-72.5874,-72.2582,-70.691,-72.136,-72.425,-72.5579,-72.5289,-71.6832,-78.5324,-71.4812,-73.0573,-72.5759
161788000,,-69.5167,-70.1079,-70.9048,-72.1068,-71.9832,-71.4221,-71.2744,-70.9846,-72.859,-71.863,-73.9493,-74.1921,-71.5713,-72.6651,-76.9771,-72.4791,-71.3669,-71.6986,-72.1296,-71.4312,-71.9906,-71.3842,-73.1687,-72.1192,-71.5958,-72.9494,-72.9748,-84.1383,-72.862,-72.0056,-74.3828,-72.9894,-71.0304,-73.4657,-71.7385,-72.3173,-71.5361,-72.1055,-71.6468,-71.0768,-72.3749,-72.5174,-72.4027,-71.5981,-71.7185,-72.0676,-76.5995,-72.8331,-73.163,-71.5687
161792000,,-66.7744,-67.8629,-67.3994,-68.8359,-69.6736,-69.2769,-68.5621,-68.387,-70.3952,-70.2177,-72.6964,-71.0258,-69.703,-70.0663,-74.8662,-70.869,-68.8539,-68.9161,-69.8284,-68.4851,-69.8339,-69.9463,-70.6166,-70.2073,-68.9146,-69.7765,-68.7287,-81.5881,-71.6852,-68.8801,-73.4537,-70.4347,-69.1403,-68.842,-68.68,-69.6237,-68.5434,-68.7796,-67.9817,-69.3605,-69.6844,-70.2735,-68.7611,-68.789,-69.7228,-68.9204,-73.7518,-70.7406,-69.3762,-69.0001
161796000,,-67.1918,-69.441,-68.803,-70.4697,-70.6666,-71.0298,-70.4624,-70.8799,-70.9302,-71.2836,-73.6755,-72.5161,-70.9494,-71.586,-75.8186,-71.3513,-71.235,-71.4913,-71.09,-69.3362,-70.2608,-71.5377,-71.5186,-70.962,-70.6415,-70.9885,-70.2394,-82.7786,-72.6798,-70.7203,-75.0181,-71.2291,-70.7374,-69.9503,-69.3266,-71.5039,-70.5703,-69.0493,-69.6258,-70.4295,-70.4152,-70.9117,-70.4998,-70.395,-71.0972,-70.5726,-75.3415,-70.9704,-70.1576,-70.9629
161800000,,-67.6734,-70.3324,-68.3081,-72.5392,-71.5623,-70.7461,-71.1785,-72.9853,-72.3548,-71.6009,-73.6508,-71.4847,-71.0626,-71.6479,-75.4111,-72.182,-72.5393,-71.5366,-71.6447,-69.5574,-71.12,-72.4925,-72.8539,-71.0578,-71.1109,-71.4134,-71.1185,-83.5951,-73.6993,-72.2081,-74.5813,-72.5223,-71.0667,-72.8568,-71.7465,-71.9891,-72.7502,-70.8097,-71.4072,-72.268,-72.1994,-72.0641,-71.7886,-71.4107,-70.6942,-70.9133,-76.2813,-71.6144,-69.9405,-71.5507
161804000,,-67.3931,-70.4135,-67.4697,-69.537,-71.251,-69.1865,-69.3045,-70.8972,-72.471,-70.3052,-71.546,-69.7948,-70.6703,-69.219,-73.4705,-73.1384,-72.3039,-70.9306,-71.1188,-68.2168,-70.4048,-72.4926,-72.2936,-70.1006,-70.6838,-70.6235,-69.9761,-82.5114,-73.3166,-70.4419,-73.4429,-72.1016,-69.5928,-71.8345,-71.1005,-71.1999,-70.6976,-72.4962,-71.779,-70.9276,-71.8626,-71.8056,-70.9693,-71.397,-71.155,-69.3164,-75.091,-71.8688,-69.1747,-69.2254
161808000,,-69.2914,-70.3909,-71.0223,-71.6442,-72.0123,-70.0204,-71.3014,-71.7735,-71.8029,-72.0676,-73.8134,-72.3581,-71.8894,-71.7477,-77.1346,-73.6564,-73.4034,-73.2268,-72.8274,-72.392,-72.4616,-72.0073,-72.6977,-73.0073,-72.7928,-72.1937,-72.1093,-84.7743,-74.2386,-72.4201,-74.3037,-73.1303,-71.4973,-72.4401,-72.454,-72.5438,-71.8095,-72.6647,-72.7931,-71.394,-72.5342,-72.7273,-72.3002,-73.552,-73.2434,-72.4409,-77.4337,-74.5144,-70.2688,-71.8697
161812000,,-70.9753,-70.5271,-72.3518,-72.9702,-72.1144,-72.7056,-73.3881,-73.5436,-72.1916,-72.2656,-76.4773,-74.5442,-71.8469,-73.3248,-78.7392,-72.2026,-70.9656,-72.6583,-71.7775,-71.8432,-72.8902,-71.9466,-72.821,-73.1873,-70.7941,-73.4484,-71.4187,-85.3661,-74.5285,-73.235,-75.8662,-72.5227,-73.5966,-72.2812,-73.6029,-72.2062,-72.586,-72.1961,-72.5175,-73.6293,-72.9848,-72.6247,-72.0248,-72.3382,-73.361,-72.333,-77.1697,-72.8052,-71.9997,-72.4644
161816000,,-70.9796,-70.4974,-70.4006,-72.6139,-72.3425,-72.6578,-72.8388,-75.0662,-71.6448,-71.7499,-75.8756,-74.6014,-72.6828,-74.6113,-78.0414,-72.6037,-70.9517,-71.6437,-73.2237,-71.7694,-72.8845,-71.6207,-73.5534,-72.4239,-71.8244,-72.8073,-72.1885,-84.775,-74.9848,-74.5312,-76.0287,-73.2993,-71.3343,-72.2146,-73.3977,-71.807,-73.9157,-73.1437,-73.4003,-72.5459,-73.2794,-73.5292,-72.3487,-72.7837,-73.0207,-70.942,-77.7027,-73.1281,-72.8992,-72.5314
161820000,,-71.1833,-71.8757,-69.7612,-73.1706,-72.9917,-73.17,-73.4482,-74.105,-70.5724,-72.1188,-75.5238,-72.4936,-73.908,-73.3036,-76.9347,-73.4227,-71.4702,-73.1178,-72.055,-73.2513,-72.6833,-73.684,-72.2101,-72.7955,-73.4332,-71.9352,-72.418,-84.4961,-74.1473,-73.4594,-74.1399,-74.7024,-70.7117,-71.5978,-72.1984,-71.8921,-73.2129,-71.664,-72.7459,-70.7523,-72.4042,-73.9664,-72.5187,-72.128,-72.6363,-71.6586,-78.5185,-74.6135,-73.0191,-72.9823
161824000,,-71.2469,-71.0093,-70.1426,-71.675,-73.8608,-72.7274,-72.6821,-72.9608,-70.985,-72.6749,-74.5927,-71.9692,-72.8553,-72.5346,-77.3073,-73.7554,-72.7846,-74.0945,-71.8775,-72.9455,-73.3654,-74.562,-72.5557,-72.7241,-73.8781,-72.263,-72.4086,-84.4899,-72.9632,-72.4575,-75.95,-72.7605,-71.949,-71.7295,-73.4611,-72.6714,-72.4873,-71.3504,-73.0118,-72.124,-72.7475,-72.8076,-71.9508,-72.2311,-72.7274,-71.1145,-77.4896,-74.6228,-72.8471,-72.0246
161828000,,-70.1092,-71.0878,-70.2327,-73.1699,-72.2339,-72.7306,-73.647,-72.1388,-72.8247,-72.3865,-73.8633,-71.8587,-74.713,-72.2008,-76.8296,-74.5641,-73.8101,-73.4595,-73.2187,-72.2622,-73.2982,-71.6937,-72.5283,-71.8097,-73.7301,-72.8217,-72.5541,-85.2397,-72.2582,-73.7229,-77.5636,-72.8946,-73.0177,-73.2566,-73.1431,-72.3881,-72.1735,-72.4567,-73.4616,-74.0421,-73.3535,-71.5311,-71.849,-73.5616,-71.77,-71.0461,-77.2802,-72.3453,-72.2547,-73.3314
161832000,,-70.0581,-69.6916,-70.3016,-71.9768,-70.872,-73.6009,-73.7103,-71.5696,-72.9293,-72.0588,-74.4845,-72.1706,-73.0142,-71.6875,-76.7158,-73.8626,-71.1567,-71.9965,-72.2251,-72.0378,-73.0324,-72.4717,-72.8804,-71.7307,-72.9869,-72.6466,-72.9397,-84.6276,-73.0129,-71.6067,-76.4883,-72.8331,-71.1971,-73.5654,-72.8994,-72.4434,-71.871,-72.9463,-72.7265,-72.8214,-73.4506,-71.8352,-72.0288,-73.1861,-72.3784,-72.0951,-76.6101,-72.5045,-72.2948,-72.7429
161836000,,-69.411,-70.7578,-70.4854,-71.5866,-71.531,-72.2294,-72.8013,-72.8973,-72.5953,-72.3278,-75.0737,-72.3153,-72.1249,-72.3736,-76.5958,-73.0878,-71.6383,-72.0331,-72.5786,-72.1163,-71.7686,-72.1753,-73.6817,-72.1855,-72.2361,-71.957,-71.9066,-84.3625,-74.3037,-71.2869,-76.5983,-73.4044,-70.8657,-74.1106,-72.8334,-72.3773,-72.7459,-73.012,-71.8003,-73.0983,-72.2629,-71.6205,-71.4173,-72.5676,-71.8604,-72.0066,-77.0163,-72.6482,-72.0041,-70.6577
161840000,,-69.1045,-70.6159,-70.1501,-71.8886,-72.5078,-71.901,-72.3441,-72.7348,-71.7748,-71.8453,-74.2697,-72.1818,-73.0073,-72.3993,-77.9835,-73.2968,-73.5586,-72.9639,-73.8441,-72.0,-72.0269,-73.8257,-71.8804,-72.3594,-71.4546,-72.2628,-71.7048,-84.5918,-74.7979,-71.3043,-76.1867,-73.5903,-72.8433,-74.4618,-72.5074,-72.6666,-73.0147,-71.7851,-72.1033,-72.2004,-72.2636,-72.2564,-71.6978,-70.8464,-71.2995,-72.1882,-77.3486,-73.1987,-71.1976,-70.7993
161844000,,-69.4494,-70.44,-70.3128,-71.6474,-72.6852,-71.6149,-72.8318,-72.7089,-71.8478,-73.0606,-76.1929,-71.9785,-72.0833,-72.4609,-79.3362,-72.544,-72.9523,-71.9248,-73.6065,-71.7107,-72.4278,-72.117,-70.9095,-72.5016,-72.1895,-72.8256,-72.309,-84.3864,-73.7778,-71.5352,-76.1321,-73.4392,-73.2111,-73.0035,-72.5982,-71.6158,-72.8567,-71.136,-72.2929,-71.3313,-72.4583,-71.2648,-72.4384,-70.7793,-73.1903,-70.6064,-77.1107,-73.8275,-72.2168,-71.0765
161848000,,-69.0553,-68.844,-71.3366,-72.2437,-70.9693,-71.2253,-71.5942,-72.5728,-71.2036,-71.5767,-75.9421,-72.3252,-71.0129,-71.1975,-76.5937,-71.658,-72.076,-70.6558,-72.9542,-71.4656,-72.1737,-70.2723,-72.2029,-71.9554,-72.3955,-71.7119,-71.2219,-84.285,-72.7282,-71.6994,-74.276,-71.6053,-71.7165,-71.4352,-72.3664,-70.2074,-72.1085,-71.1883,-71.7358,-71.915,-71.5156,-70.0829,-72.4865,-70.7137,-72.4126,-70.2225,-77.1549,-73.779,-71.0371,-70.8974
161852000,,-66.8209,-65.9853,-67.3788,-68.555,-68.2341,-69.0147,-68.7277,-69.502,-68.496,-68.2722,-71.533,-68.6552,-69.5698,-69.4559,-74.6412,-71.285,-69.8088,-68.0883,-70.4713,-68.162,-69.7053,-68.485,-69.9228,-68.4048,-69.3054,-69.8861,-68.7212,-81.7216,-70.5849,-68.6496,-71.0592,-68.7626,-69.7091,-68.7047,-68.9997,-68.4029,-69.9408,-68.5633,-69.0552,-69.8473,-69.121,-68.7197,-69.3268,-70.5671,-70.424,-69.8197,-74.2093,-70.5633,-68.8614,-69.2154
161856000,,-67.524,-66.7434,-67.5163,-68.9038,-68.5323,-69.1053,-68.6392,-70.2885,-68.827,-68.6643,-72.1001,-69.0983,-69.752,-69.7415,-74.8052,-71.2331,-70.7449,-68.6602,-70.4076,-68.2336,-69.2858,-69.2906,-69.0734,-68.5041,-70.3221,-69.9562,-69.3949,-81.5463,-70.3991,-68.8006,-71.0107,-69.9955,-70.7649,-69.3394,-69.0659,-69.5386,-70.6328,-68.4405,-68.9128,-69.7847,-69.4048,-69.1138,-68.8441,-71.3196,-70.9109,-70.7058,-73.9474,-70.2614,-69.5136,-69.4966
161860000,,-68.4258,-69.2432,-69.3914,-68.8447,-68.2773,-69.7454,-69.8222,-71.4805,-69.1865,-69.7038,-74.0082,-71.4769,-70.3056,-69.6226,-74.8645,-70.121,-70.3359,-68.9881,-69.9222,-68.5092,-69.4799,-69.0558,-69.7706,-69.852,-71.243,-70.1485,-68.2668,-81.9538,-71.2215,-71.4896,-71.7093,-70.6161,-70.2416,-70.3247,-72.1535,-70.9621,-70.4279,-70.1731,-68.9781,-70.2325,-69.4916,-71.5737,-70.6755,-70.1778,-69.8491,-70.9254,-73.5402,-71.3465,-70.5386,-69.8249
161864000,,-68.4052,-67.783,-69.1744,-68.2306,-64.049,-65.4659,-66.6929,-69.2158,-66.286,-67.0985,-70.4561,-70.2464,-68.4841,-68.1856,-72.591,-68.3457,-67.2027,-66.0858,-65.2815,-65.8514,-66.2548,-67.0188,-68.9224,-68.7193,-68.3272,-69.2999,-66.2495,-78.4068,-69.3695,-71.6468,-68.2812,-65.6758,-66.8053,-67.2174,-71.9875,-69.9029,-66.3241,-67.5336,-65.1418,-66.2975,-66.3072,-69.7587,-67.2642,-66.5541,-64.66,-67.5475,-71.908,-69.993,-68.7509,-66.2038
161868000,,-70.2071,-70.7197,-70.094,-70.2317,-67.7006,-67.9905,-69.9058,-71.248,-68.3095,-69.4928,-72.396,-71.6047,-70.7797,-70.4633,-74.4956,-70.6449,-70.0305,-69.4433,-67.2525,-69.0435,-69.3036,-70.2185,-71.1766,-70.5609,-70.2945,-71.1861,-69.2831,-80.7038,-71.7016,-71.7889,-71.5839,-68.9839,-68.9286,-69.0963,-71.7578,-71.1481,-69.5905,-69.8066,-68.1879,-69.9139,-68.9056,-71.1893,-69.0403,-69.6955,-68.3917,-70.1408,-75.659,-72.5139,-70.6874,-69.1825
161872000,,-70.9703,-70.693,-71.1205,-71.8833,-71.8749,-72.1337,-73.131,-72.4523,-71.1561,-71.786,-74.9032,-72.7512,-73.1112,-72.1016,-77.0163,-72.8277,-72.8757,-71.934,-71.1072,-72.0791,-72.0596,-73.2538,-72.9502,-71.3979,-72.2896,-72.8537,-71.8721,-83.7042,-74.0822,-72.0014,-74.4018,-73.766,-73.0076,-72.4601,-72.9897,-72.3537,-73.201,-72.9854,-72.3879,-72.111,-72.9848,-72.5447,-71.3495,-71.8114,-71.6727,-71.5855,-79.6346,-72.8213,-71.5989,-72.2701
161876000,,-69.1882,-69.9085,-71.9196,-71.9777,-72.182,-73.1102,-72.5029,-71.3406,-72.1386,-71.7173,-74.5353,-72.0714,-72.3394,-72.4686,-78.345,-72.0066,-74.8702,-72.5033,-73.5284,-72.3538,-72.4315,-73.4541,-72.9992,-71.6091,-72.9238,-72.604,-72.1424,-84.9253,-74.1675,-72.5679,-75.2878,-73.9837,-73.7173,-73.3959,-72.8531,-73.5862,-72.5945,-72.9095,-73.6882,-74.095,-73.882,-72.1814,-71.7325,-71.2769,-72.9765,-71.4179,-78.4144,-73.3802,-72.7021,-72.7905
161880000,,-69.2893,-70.3504,-71.0876,-71.7206,-72.9086,-73.5898,-73.0319,-70.9645,-72.3561,-72.6864,-74.5676,-72.3664,-72.1037,-72.8553,-78.1787,-72.7074,-74.043,-73.5825,-72.2733,-74.4368,-71.3737,-71.9819,-72.8603,-71.4692,-72.5137,-72.5748,-72.6881,-85.0005,-73.5681,-73.5043,-73.9794,-73.148,-72.1073,-72.8131,-72.2996,-73.4857,-73.6148,-73.0312,-74.9569,-73.9329,-71.6314,-73.2294,-72.3126,-72.2908,-74.2199,-73.3165,-78.0986,-72.7401,-73.4222,-72.1554
161884000,,-70.7479,-73.3883,-70.9252,-72.0405,-73.5752,-72.1889,-72.7647,-73.0553,-72.6148,-72.6879,-74.7727,-72.6107,-73.0593,-71.9791,-78.0988,-72.3219,-72.4647,-72.9169,-71.3399,-74.1632,-71.2252,-71.4697,-72.2633,-72.3743,-71.6939,-73.7501,-71.8673,-85.2421,-74.5988,-74.4933,-74.0315,-73.8718,-72.345,-74.4738,-71.6811,-72.6452,-72.9818,-72.6508,-73.8002,-73.2988,-71.552,-72.5579,-72.8857,-74.0765,-73.2884,-73.8831,-77.3176,-72.3364,-72.9079,-72.2508
161888000,,-70.9071,-71.5279,-70.8788,-72.0961,-73.54,-71.1726,-73.2741,-72.1537,-74.1338,-72.4465,-74.7828,-72.3059,-74.0916,-71.9517,-77.8309,-73.2205,-71.9408,-73.2759,-73.0429,-71.1703,-72.2839,-72.8448,-72.3429,-72.404,-72.2549,-71.7904,-72.1632,-84.7942,-74.9315,-73.5222,-75.7481,-72.8173,-73.1963,-74.4456,-72.6956,-71.7499,-72.9885,-72.098,-74.4934,-73.6436,-71.7633,-72.3078,-72.1046,-73.575,-73.3653,-72.153,-76.8401,-72.8858,-73.1028,-73.0161
161892000,,-70.2143,-70.455,-70.7625,-73.0239,-73.0421,-71.426,-73.2842,-71.8981,-72.731,-73.2614,-74.4996,-72.7345,-72.168,-72.105,-77.1653,-73.1493,-73.5885,-73.8694,-72.7178,-69.8974,-73.684,-73.5074,-72.2047,-73.4046,-72.8945,-72.9109,-72.9552,-84.4491,-74.2618,-72.7994,-76.8309,-73.0759,-73.4039,-73.5403,-73.8047,-73.0697,-73.0003,-72.1611,-74.2132,-73.7912,-72.5014,-72.3454,-71.5931,-71.9462,-73.0478,-72.6949,-76.9475,-73.8595,-72.7829,-73.4487
161896000,,-69.5908,-71.4125,-69.6565,-71.9471,-72.7499,-72.142,-72.9482,-72.8927,-72.1017,-72.0626,-73.8045,-73.0901,-72.2092,-72.83,-77.589,-73.7808,-72.7327,-72.1797,-72.9366,-71.4681,-72.7255,-73.0018,-72.0403,-73.9816,-73.1803,-74.2206,-71.5935,-85.3697,-74.2213,-72.1524,-77.0695,-73.6248,-72.6626,-72.6754,-74.1336,-74.7152,-72.0801,-72.4142,-72.5074,-74.1469,-72.6444,-72.417,-72.2696,-71.7241,-72.8935,-74.2211,-78.2969,-74.2597,-72.1647,-72.8971
