"平均气温, x; 就诊人数, x","平均气温, y","就诊人数, y"
2016-10-01,23.5,146
2016-10-02,23.5,178
2016-10-03,26.0,177
2016-10-04,24.5,180
2016-10-05,20.5,181
2016-10-06,20.5,160
2016-10-07,16.0,174
2016-10-08,15.0,204
2016-10-09,15.5,214
2016-10-10,17.0,211
2016-10-11,18.0,220
2016-10-12,19.5,214
2016-10-13,19.5,198
2016-10-14,19.5,224
2016-10-15,16.5,182
2016-10-16,17.0,183
2016-10-17,18.5,262
2016-10-18,20.0,234
2016-10-19,20.0,217
2016-10-20,18.5,229
2016-10-21,17.5,235
2016-10-22,12.0,138
2016-10-23,10.5,170
2016-10-24,11.5,228
2016-10-25,14.5,206
2016-10-26,13.5,232
2016-10-27,12.0,228
2016-10-28,10.5,224
2016-10-29,10.5,206
2016-10-30,11.5,219
2016-10-31,4.0,254
2016-11-01,6.0,230
2016-11-02,11.0,265
2016-11-03,14.5,251
2016-11-04,16.5,262
2016-11-05,15.5,248
2016-11-06,10.5,236
2016-11-07,6.5,263
2016-11-08,6.5,275
2016-11-09,9.0,252
2016-11-10,9.5,271
2016-11-11,13.5,264
2016-11-12,13.0,227
2016-11-13,14.5,234
2016-11-14,9.5,324
2016-11-15,10.5,301
2016-11-16,11.0,305
2016-11-17,12.5,297
2016-11-18,13.0,326
2016-11-19,11.0,290
2016-11-20,11.0,274
2016-11-21,2.5,301
2016-11-22,-3.5,248
2016-11-23,-1.5,304
2016-11-24,2.0,300
2016-11-25,4.0,341
2016-11-26,6.0,292
2016-11-27,4.0,296
2016-11-28,4.5,379
2016-11-29,6.5,321
2016-11-30,6.5,288
2016-12-01,5.5,357
2016-12-02,9.0,370
2016-12-03,10.0,301
2016-12-04,8.0,293
2016-12-05,2.0,377
2016-12-06,5.5,359
2016-12-07,6.5,302
2016-12-08,6.0,313
2016-12-09,3.5,363
2016-12-10,4.5,339
2016-12-11,6.0,311
2016-12-12,5.0,461
2016-12-13,0.0,371
2016-12-14,0.5,385
2016-12-15,1.5,364
2016-12-16,4.5,372
2016-12-17,7.0,354
2016-12-18,7.0,343
2016-12-19,6.5,446
2016-12-20,4.5,388
2016-12-21,1.5,369
2016-12-22,1.0,388
2016-12-23,1.0,421
2016-12-24,2.5,356
2016-12-25,2.0,295
2016-12-26,-1.0,356
2016-12-27,-1.5,350
2016-12-28,-0.5,340
2016-12-29,-1.5,383
2016-12-30,2.5,407
2016-12-31,5.0,322
2017-01-01,5.5,249
2017-01-02,2.5,332
2017-01-03,7.0,387
2017-01-04,2.5,307
2017-01-05,2.0,348
2017-01-06,2.5,372
2017-01-07,2.0,272
2017-01-08,0.5,245
2017-01-09,1.0,364
2017-01-10,0.5,344
2017-01-11,2.0,305
2017-01-12,2.5,274
2017-01-13,0.0,296
2017-01-14,-1.0,259
2017-01-15,-1.0,242
2017-01-16,1.5,336
2017-01-17,2.0,281
2017-01-18,2.5,278
2017-01-19,-2.0,285
2017-01-20,-3.5,261
2017-01-21,-2.5,205
2017-01-22,-3.5,229
2017-01-23,0.5,306
2017-01-24,2.0,280
2017-01-25,5.5,302
2017-01-26,4.5,275
2017-01-27,2.0,137
2017-01-28,2.0,163
2017-01-29,-3.0,177
2017-01-30,-2.5,234
2017-01-31,0.5,213
2017-02-01,0.5,218
2017-02-02,2.0,246
2017-02-03,5.5,324
2017-02-04,4.5,319
2017-02-05,2.5,237
2017-02-06,1.5,334
2017-02-07,0.5,259
2017-02-08,-1.5,268
2017-02-09,-1.5,263
2017-02-10,-0.5,214
2017-02-11,3.0,198
2017-02-12,7.5,166
2017-02-13,7.0,287
2017-02-14,10.0,205
2017-02-15,12.5,237
2017-02-16,9.0,220
2017-02-17,4.0,206
2017-02-18,10.0,200
2017-02-19,9.0,148
2017-02-20,2.0,277
2017-02-21,-1.0,189
2017-02-22,-1.0,155
2017-02-23,2.5,225
2017-02-24,6.0,204
2017-02-25,6.5,210
2017-02-26,9.0,164
2017-02-27,12.0,230
2017-02-28,11.0,252
2017-03-01,3.5,211
2017-03-02,7.5,189
2017-03-03,10.5,233
2017-03-04,10.5,179
2017-03-05,5.0,186
2017-03-06,6.5,291
2017-03-07,3.5,237
2017-03-08,7.5,173
2017-03-09,9.5,221
2017-03-10,12.5,229
2017-03-11,13.0,186
2017-03-12,6.0,164
2017-03-13,5.5,291
2017-03-14,9.5,261
2017-03-15,11.5,241
2017-03-16,12.5,249
2017-03-17,13.5,238
2017-03-18,14.5,212
2017-03-19,15.0,181
2017-03-20,8.0,270
2017-03-21,11.5,210
2017-03-22,10.5,245
2017-03-23,10.5,186
2017-03-24,9.0,226
2017-03-25,9.0,184
2017-03-26,9.5,177
2017-03-27,10.5,240
2017-03-28,5.0,215
2017-03-29,12.0,241
2017-03-30,11.5,237
2017-03-31,10.0,238
2017-04-01,14.5,201
2017-04-02,19.0,172
2017-04-03,19.5,163
2017-04-04,14.5,175
2017-04-05,14.0,316
2017-04-06,17.5,256
2017-04-07,19.0,236
2017-04-08,13.0,197
2017-04-09,12.0,181
2017-04-10,12.0,263
2017-04-11,14.0,192
2017-04-12,17.5,277
2017-04-13,17.0,204
2017-04-14,20.5,221
2017-04-15,24.0,212
2017-04-16,19.0,174
2017-04-17,21.5,269
2017-04-18,19.0,219
2017-04-19,16.5,252
2017-04-20,17.5,235
2017-04-21,14.0,216
2017-04-22,20.0,212
2017-04-23,23.0,187
2017-04-24,18.5,283
2017-04-25,14.5,241
2017-04-26,15.5,214
2017-04-27,18.5,240
2017-04-28,24.5,248
2017-04-29,27.5,194
2017-04-30,24.5,166
2017-05-01,24.5,150
2017-05-02,24.5,230
2017-05-03,20.5,200
2017-05-04,20.0,199
2017-05-05,18.0,214
2017-05-06,22.5,213
2017-05-07,24.5,172
2017-05-08,20.0,248
2017-05-09,22.5,253
2017-05-10,26.5,229
2017-05-11,25.0,182
2017-05-12,25.0,211
2017-05-13,21.0,189
2017-05-14,21.5,185
2017-05-15,21.5,237
2017-05-16,26.0,238
2017-05-17,28.5,199
2017-05-18,30.5,218
2017-05-19,28.0,210
2017-05-20,27.5,214
