x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48]
1.375,1.375,-0.0049038429,-0.0085511967,-0.0143029725,-0.0228722394,-0.0348102876,-0.0500880413,-0.0674213127,-0.0833296252,-0.0910079995,-0.0792216365,-0.0315792823,0.0733493024,0.2606024873,0.5557799009,0.9804395347,1.5465102181,2.2508179123,3.0711717048,3.9654304736,4.8744712151,5.7290652823,6.4595789897,7.0065059195,7.3294513732,7.4125068356,7.2649043568,6.9171170262,6.4137389287,5.8051539372,5.1400069178,4.4599028855,3.7968628766,3.1732112551,2.6030302385,2.0941957002,1.6502312434,1.2716063961,0.9564708062,0.7010367407,0.4998684756,0.346256519,0.2327265035,0.1516263069,0.0956859696,0.0584532736,0.0345512298,0.0197548133,0.0109229642,0.0058398715
1.5,1.5,-0.0030782343,-0.0052498227,-0.0085300826,-0.0131170994,-0.0188897559,-0.0250083534,-0.0293056753,-0.0274691575,-0.0120907368,0.0282306674,0.1094292213,0.2517604897,0.4784411468,0.8128810481,1.274549654,1.8739481783,2.6076117624,3.4543842063,4.3742289407,5.3104669436,6.1955948817,6.9599115065,7.5413490865,7.8944592033,7.9966202416,7.8502078199,7.4804908168,6.9300536496,6.2512754132,5.4986232171,4.7222380145,3.9636756056,3.2539665852,2.6136058583,2.053800709,1.5782971022,1.1852758467,0.8690411639,0.621416161,0.4328674796,0.2934101121,0.1933264934,0.1237079137,0.0768137915,0.0462504569,0.0269885126,0.0152554848,0.0083501981,0.0044245231
1.625,1.625,-0.0017556303,-0.0028700298,-0.0043932761,-0.0061757542,-0.007656791,-0.0074931663,-0.0030168491,0.0104701504,0.0404919889,0.0981248114,0.198392628,0.3600009568,0.6040744354,0.9516781943,1.4201517229,2.0186428272,2.7436159142,3.5753954768,4.4768561629,5.3950956444,6.266334099,7.0235028035,7.6052364315,7.9645137226,8.0751735452,7.9349984188,7.5648719481,7.0044295981,6.3053595576,5.52387481,4.7138125414,3.9214101204,3.182236973,2.5202204606,1.9483278154,1.4703043713,1.0828908762,0.7780757652,0.5451041052,0.3721090433,0.247331211,0.1599485406,0.1005667034,0.0614323813,0.0364360149,0.0209703189,0.0117057979,0.0063347684,0.003322273
1.75,1.75,-0.0008589068,-0.001272553,-0.0016494175,-0.0016380677,-0.000443341,0.0035076365,0.0130372598,0.0328152534,0.0700175001,0.1349076107,0.2411234566,0.4053923419,0.6463977308,0.9826131116,1.4291222336,1.9937412459,2.673083309,3.4494577661,4.2895612804,5.145717456,5.9599495555,6.6705200488,7.2199149089,7.5627934131,7.6723258526,7.543654731,7.1938591287,6.6585884945,5.9862326531,5.2309217884,4.4457178254,3.6771002987,2.9613894886,2.3232458224,1.7759725647,1.323104084,0.9606931914,0.6797777205,0.4686473377,0.3146895691,0.2057308429,0.1308867312,0.0809942325,0.0487250476,0.0284819735,0.0161694905,0.0089111433,0.0047654106,0.002471919
1.875,1.875,-0.0002983271,-0.0002927287,-5.6628e-06,0.0010006323,0.0035933253,0.009357713,0.0209953896,0.0428187056,0.0812850865,0.1454559041,0.2472012483,0.4009255751,0.6225889224,0.9278726824,1.3295025355,1.8339810319,2.43824935,3.1270113304,3.8715215884,4.6304944927,5.3534202831,5.9860437593,6.47720433,6.7858196999,6.886659633,6.773762295,6.4608481511,5.9787452174,5.3704682018,4.6850243909,3.97115535,3.2720664455,2.6218304068,2.0437050612,1.5502037131,1.1444838985,0.8225058685,0.5754371272,0.3918959784,0.2597811358,0.1675818483,0.1051771035,0.0642039546,0.0381070408,0.0219836047,0.0123221459,0.0067082906,0.0035458827,0.0018191992
2,2,1.54886e-05,0.0002350223,0.0008356281,0.0022594813,0.0053318488,0.0115004403,0.0231597498,0.0440477391,0.0796679278,0.1376438031,0.2278631304,0.3622338206,0.5538730011,0.8156090982,1.1578050226,1.5856997937,2.0966790499,2.6780596436,3.3060376845,3.9463461057,4.5568828014,5.0921491598,5.5088834712,5.7719158512,5.8591286915,5.7645392617,5.4989055052,5.0877896983,4.5675495084,3.9801188792,3.3676000101,2.7675966625,2.2099347948,1.7150404909,1.2938852817,0.9491467149,0.6771047579,0.4697960142,0.3170413946,0.2081009813,0.1328492282,0.0824754089,0.0497857649,0.0292159343,0.0166638012,0.0092355867,0.0049725758,0.0026002332,0.0013202144
2.125,2.125,0.0001620817,0.0004588819,0.0011424765,0.002609156,0.0055748567,0.0112652162,0.0216698388,0.0398497372,0.0702605904,0.1190193282,0.1940041973,0.3046513703,0.4613112904,0.6740721666,0.9510557138,1.296335013,1.7077888723,2.1753445071,2.6801154081,3.1948688841,3.6860440552,4.117217342,4.453554435,4.666496455,4.7377976819,4.6621157638,4.447642258,4.1146779181,3.6924896058,3.2151182492,2.7169595413,2.2288890975,1.7754889257,1.3736299406,1.0323641994,0.7538517262,0.5349272584,0.3689023583,0.2472709811,0.1611021344,0.1020237606,0.0628004929,0.0375717444,0.0218452703,0.0123424185,0.0067753011,0.0036130403,0.0018713585,0.0009412415
2.25,2.25,0.0002057355,0.0004988678,0.001132479,0.0024327751,0.0049775161,0.0097405233,0.0182832037,0.032984155,0.0572783942,0.0958518782,0.1547095797,0.2410155772,0.3626037869,0.5270905194,0.7405920026,1.0061570797,1.3221477674,1.680904131,2.0680740416,2.4629386496,2.8399088539,3.1711278216,3.429844296,3.5939960424,3.6493342874,3.5914715428,3.4264432966,3.1696868409,2.8436735844,2.4746953682,2.0894354667,1.7119292385,1.361361987,1.0509199288,0.7876728446,0.5732816889,0.4052233796,0.2782114138,0.1855452453,0.1202124525,0.0756647365,0.0462690824,0.0274877763,0.0158645323,0.0088947059,0.0048441903,0.0025624576,0.0013164118,0.0006567112
2.375,2.375,0.0001938211,0.0004432705,0.0009654077,0.0020110639,0.004018803,0.0077201584,0.0142781454,0.0254522522,0.0437691574,0.0726600244,0.1165058037,0.1805179672,0.2703822698,0.3916162617,0.5486424548,0.7436554014,0.9754487519,1.2384435369,1.5221922366,1.8115998153,2.087993314,2.330999812,2.520996744,2.641732337,2.6826299147,2.640320961,2.5190980021,2.3302040442,2.090120135,1.8182110254,1.5341913699,1.255862718,0.9974601051,0.7687773063,0.5750625057,0.4175351554,0.294295784,0.2013874043,0.133806197,0.0863272152,0.0540843716,0.0329053163,0.0194419912,0.011155741,0.0062163333,0.0033638481,0.0017676081,0.0009018996,0.0004468098
2.5,2.5,0.0001580012,0.0003506779,0.0007464364,0.0015271807,0.0030081701,0.0057114584,0.0104620557,0.0185019199,0.0316072809,0.0521821942,0.0832879431,0.1285583555,0.1919512369,0.2773019719,0.3876804205,0.52460469,0.6872259209,0.8716504855,1.0705898669,1.2735066485,1.4673504856,1.6378596828,1.7712678843,1.8561383094,1.884986748,1.8553729647,1.7702393865,1.6374323449,1.4685131689,1.2771079982,1.077120652,0.8811277664,0.6991992859,0.538268408,0.4020490262,0.2913972156,0.2049553675,0.1399067617,0.0926953387,0.059613826,0.037216163,0.0225544596,0.0132698222,0.0075794897,0.0042030253,0.0022627203,0.0011826085,0.0006000422,0.0002955549
2.625,2.625,0.0001171295,0.0002553832,0.0005359387,0.0010839554,0.0021150024,0.0039841984,0.0072503076,0.0127514393,0.0216826454,0.0356573879,0.0567261037,0.0873188093,0.1300787935,0.1875648979,0.2618230435,0.353862335,0.4631112409,0.5869642116,0.7205453809,0.8568021143,0.9869922388,1.1015504822,1.191228842,1.2483267227,1.2677844233,1.2479242381,1.1906884337,1.1013274717,0.9876075362,0.8587027228,0.723989723,0.5919611112,0.4694232232,0.3610647323,0.2693965204,0.1949939589,0.136932547,0.0932997748,0.0616840006,0.0395739558,0.0246385637,0.0148871332,0.0087299919,0.0049686382,0.0027446791,0.0014715754,0.0007657948,0.0003867939,0.0001896177
2.75,2.75,8.07512e-05,0.0001740534,0.0003618387,0.000726138,0.0014076008,0.0026370448,0.0047764849,0.0083674556,0.0141803881,0.0232535236,0.0369042921,0.0566921075,0.0843115999,0.1214019497,0.1692726926,0.2285684328,0.2989205053,0.3786559695,0.4646449159,0.5523585147,0.6361792857,0.7099551949,0.7677310084,0.8045394341,0.8171068148,0.8043341927,0.7674556201,0.7098421596,0.6364945856,0.5533303764,0.4664052515,0.3812092195,0.3021453298,0.2322479022,0.1731415437,0.1251968954,0.0878125756,0.0597471943,0.039436756,0.0252540591,0.0156902209,0.0094583232,0.0055322716,0.0031398699,0.0017292211,0.000924122,0.0004792415,0.0002411734,0.0001177755
2.875,2.875,5.23997e-05,0.0001120586,0.0002314345,0.0004618853,0.0008911741,0.0016629175,0.00300182,0.0052433288,0.0088638638,0.0145045436,0.0229779455,0.0352450022,0.0523491906,0.0752992233,0.1049004503,0.141548681,0.1850158406,0.2342706201,0.2873838878,0.3415635221,0.3933444707,0.4389292839,0.4746385708,0.4973993266,0.5051816661,0.497297851,0.4745024848,0.4388736618,0.3935009552,0.3420450626,0.2882557558,0.2355349882,0.1866126221,0.1433704762,0.1068159394,0.0771780707,0.0540824615,0.0367574988,0.0242316901,0.0154949377,0.0096113228,0.0057833713,0.0033759761,0.0019118426,0.0010503926,0.0005598972,0.0002895546,0.0001452862,7.07285e-05
3,3,3.22354e-05,6.85509e-05,0.0001409091,0.0002800892,0.0005385547,0.0010019721,0.0018041292,0.0031444371,0.0053057378,0.0086682366,0.0137133883,0.0210101376,0.0311759441,0.0448074115,0.0623806315,0.0841293078,0.1099179901,0.1391358727,0.1706405629,0.2027782753,0.233495841,0.2605419124,0.2817335689,0.2952458167,0.2998710282,0.2951971754,0.2816683642,0.2605153496,0.2335710724,0.2030094831,0.1710590537,0.1397426792,0.1106842753,0.0850035363,0.0632997937,0.045708972,0.0320076372,0.0217358858,0.0143149729,0.0091434543,0.0056643866,0.0034035612,0.0019836568,0.001121411,0.0006149504,0.0003271168,0.000168796,8.44939e-05,4.10297e-05
