"Link Error, x; Suggestion, x; No Video, x; No Audio, x","Link Error, y","Suggestion, y","No Video, y","No Audio, y"
2014-09-26,6,6,14,11
2014-09-25,14,13,6,13
2014-09-24,14,3,20,19
2014-09-23,9,7,12,6
2014-09-22,15,4,10,7
2014-09-21,10,15,16,10
2014-09-20,5,18,23,7
2014-09-19,5,10,5,9
2014-09-18,8,8,5,14
2014-09-17,3,10,9,6
2017-11-27,,,1,
2017-09-24,,,1,
2017-08-02,1,,1,
2017-07-01,5,,2,1
2017-06-30,2,,1,
2017-06-24,1,,1,
2017-06-22,,,1,3
2017-06-19,3,,1,
2017-06-18,2,,1,
2017-06-07,6,,1,4
2017-05-22,,,1,3
2017-05-09,,,1,3
2017-04-30,1,,2,1
2017-04-24,1,,1,1
2017-04-23,1,,1,2
2017-04-12,,,1,
2017-04-05,2,,1,
2017-03-27,3,,1,1
2017-03-17,2,,1,7
2017-03-14,9,,2,1
2017-03-08,4,,1,2
2017-03-04,2,,1,
2017-03-01,7,,1,1
2017-02-21,4,,1,1
2017-02-20,3,,2,4
2017-02-19,9,,1,6
2017-02-06,6,,1,
2017-01-08,13,,1,2
2016-12-07,7,,1,1
2014-10-28,6,,9,8
2014-10-24,6,,4,6
2017-08-27,,,,1
2017-07-11,,,,1
2017-07-04,3,,,2
2017-06-28,2,,,3
2017-06-26,4,,,4
2017-06-21,6,,,3
2017-06-09,4,,,1
2017-06-05,2,,,1
2017-05-28,1,,,1
2017-05-27,,,,1
2017-05-23,2,,,1
2017-05-16,,,,1
2017-05-13,5,,,2
2017-05-08,3,,,2
2017-05-04,1,,,3
2017-04-29,3,,,2
2017-04-27,1,,,3
2017-04-20,,,,1
2017-04-19,3,,,2
2017-04-18,1,,,1
2017-04-11,2,,,1
2017-04-09,6,,,2
2017-03-29,4,,,3
2017-03-24,1,,,3
2017-03-16,2,,,7
2017-03-13,,,,1
2017-03-10,1,,,1
2017-03-09,4,,,2
2017-03-05,1,,,3
2017-02-28,1,,,2
2017-02-26,4,,,3
2017-02-25,2,,,3
2017-02-10,5,,,2
2017-01-01,10,,,1
2016-12-17,2,,,2
2016-12-06,12,,,2
2014-10-13,1,,,3
2018-01-03,1,,,
2017-11-05,1,,,
2017-09-22,1,,,
2017-09-20,1,,,
2017-09-10,1,,,
2017-09-03,1,,,
2017-08-29,1,,,
2017-08-22,1,,,
2017-07-31,1,,,
2017-07-29,1,,,
2017-07-25,6,,,
2017-07-22,1,,,
2017-07-20,2,,,
2017-07-18,2,,,
2017-07-16,3,,,
2017-07-06,1,,,
2017-07-03,2,,,
2017-07-02,1,,,
2017-06-20,1,,,
2017-06-16,2,,,
2017-06-14,2,,,
2017-06-11,4,,,
2017-06-08,3,,,
2017-06-03,2,,,
2017-06-01,2,,,
2017-05-12,1,,,
2017-05-10,3,,,
2017-05-03,1,,,
2017-05-02,1,,,
2017-05-01,1,,,
2017-04-26,1,,,
2017-04-25,1,,,
2017-04-21,3,,,
2017-04-15,1,,,
2017-04-10,1,,,
2017-02-01,10,,,
2018-01-06,,,,
2018-01-05,,,,
2018-01-04,,,,
2018-01-02,,,,
2018-01-01,,,,
2017-12-31,,,,
2017-12-30,,,,
2017-12-29,,,,
2017-12-27,,,,
2017-12-26,,,,
2017-12-25,,,,
2017-12-22,,,,
2017-12-21,,,,
2017-12-20,,,,
2017-12-19,,,,
2017-12-18,,,,
2017-12-17,,,,
2017-12-16,,,,
2017-12-15,,,,
2017-12-14,,,,
2017-12-13,,,,
2017-12-12,,,,
2017-12-11,,,,
2017-12-10,,,,
2017-12-09,,,,
2017-12-08,,,,
2017-12-07,,,,
2017-12-06,,,,
2017-12-05,,,,
2017-12-04,,,,
2017-12-03,,,,
2017-12-02,,,,
2017-12-01,,,,
2017-11-30,,,,
2017-11-29,,,,
2017-11-28,,,,
2017-11-26,,,,
2017-11-25,,,,
2017-11-24,,,,
2017-11-23,,,,
2017-11-22,,,,
2017-11-21,,,,
2017-11-20,,,,
2017-11-19,,,,
2017-11-18,,,,
2017-11-17,,,,
2017-11-16,,,,
2017-11-15,,,,
2017-11-14,,,,
2017-11-13,,,,
2017-11-12,,,,
2017-11-11,,,,
2017-11-10,,,,
2017-11-09,,,,
2017-11-08,,,,
2017-11-07,,,,
2017-11-06,,,,
2017-11-04,,,,
2017-11-03,,,,
2017-11-02,,,,
2017-11-01,,,,
2017-10-31,,,,
2017-10-30,,,,
2017-10-29,,,,
2017-10-28,,,,
2017-10-26,,,,
2017-10-25,,,,
2017-10-24,,,,
2017-10-23,,,,
2017-10-22,,,,
2017-10-21,,,,
2017-10-20,,,,
2017-10-19,,,,
2017-10-18,,,,
2017-10-17,,,,
2017-10-16,,,,
2017-10-15,,,,
2017-10-14,,,,
2017-10-13,,,,
2017-10-12,,,,
2017-10-11,,,,
2017-10-10,,,,
2017-10-09,,,,
2017-10-08,,,,
2017-10-07,,,,
2017-10-06,,,,
2017-10-05,,,,
2017-10-04,,,,
2017-10-02,,,,
2017-10-01,,,,
2017-09-28,,,,
2017-09-27,,,,
2017-09-25,,,,
2017-09-23,,,,
2017-09-21,,,,
2017-09-19,,,,
2017-09-18,,,,
2017-09-17,,,,
2017-09-16,,,,
2017-09-15,,,,
2017-09-14,,,,
2017-09-13,,,,
2017-09-12,,,,
2017-09-11,,,,
2017-09-09,,,,
2017-09-08,,,,
2017-09-07,,,,
2017-09-06,,,,
2017-09-05,,,,
2017-09-04,,,,
2017-09-02,,,,
2017-09-01,,,,
2017-08-31,,,,
2017-08-28,,,,
2017-08-26,,,,
2017-08-25,,,,
2017-08-24,,,,
2017-08-23,,,,
2017-08-21,,,,
2017-08-20,,,,
2017-08-19,,,,
2017-08-18,,,,
2017-08-17,,,,
2017-08-16,,,,
2017-08-15,,,,
2017-08-14,,,,
2017-08-13,,,,
2017-08-12,,,,
2017-08-11,,,,
2017-08-10,,,,
2017-08-09,,,,
2017-08-08,,,,
2017-08-07,,,,
2017-08-06,,,,
2017-08-05,,,,
2017-08-04,,,,
2017-08-03,,,,
2017-07-30,,,,
2017-07-28,,,,
2017-07-26,,,,
2017-07-24,,,,
2017-07-23,,,,
2017-07-21,,,,
2017-07-14,,,,
2017-07-05,,,,
2017-06-23,,,,
2017-04-28,,,,
