"NO2, x; 人数, x","NO2, y","人数, y"
2017-04-20,36,235
2017-04-21,37,216
2017-04-22,31,212
2017-04-23,21,187
2017-04-24,36,283
2017-04-25,64,241
2017-04-26,55,214
2017-04-27,46,240
2017-04-28,37,248
2017-04-29,43,194
2017-04-30,39,166
2017-05-01,76,150
2017-05-02,34,230
2017-05-03,19,200
2017-05-04,24,199
2017-05-05,41,214
2017-05-06,36,213
2017-05-07,29,172
2017-05-08,35,248
2017-05-09,39,253
2017-05-10,37,229
2017-05-11,30,182
2017-05-12,31,211
2017-05-13,20,189
2017-05-14,46,185
2017-05-15,41,237
2017-05-16,19,238
2017-05-17,17,199
2017-05-18,21,218
2017-05-19,24,210
2017-05-20,47,214
